Ville,Information_Qualite_Air,Indice_IQA_PM_25,Indice_IQA_PM_10,Indice_IQA_No2,Indice_IQA_So2,Indice_IQA_Ozone,Temperature (°C),Humidite_AQ,Vent,date
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-28
Nice,37,26,10,8.4,1.1,37.4,17.0,72.0,3.0,2025-03-28
Strasbourg,34,63,9,7.4,,34.0,16.0,42.5,2.0,2025-03-28
Paris,51,51,19,12.4,0.6,29.8,12.2,64.2,2.5,2025-03-28
Rennes,34,21,7,3.6,,34.0,10.0,87.0,5.1,2025-03-28
Nantes,24,8,3,3.0,,24.1,12.0,93.0,5.1,2025-03-28
Marseille,35,21,18,6.1,0.4,34.6,17.2,42.0,8.0,2025-03-28
Toulouse,57,57,19,2.6,,34.7,16.5,49.5,8.4,2025-03-28
Lyon,33,45,,3.6,,32.5,15.0,51.0,4.1,2025-03-28
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-28
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-28
Nice,39,31,10,6.8,1.1,38.5,17.0,72.0,2.8,2025-03-28
Strasbourg,34,63,9,7.4,,34.0,16.0,42.5,2.0,2025-03-28
Paris,29,64,13,12.4,0.6,29.0,12.7,67.7,2.2,2025-03-28
Rennes,34,21,7,3.6,,34.0,10.0,87.0,5.1,2025-03-28
Nantes,27,8,4,3.0,,26.8,12.0,90.0,5.6,2025-03-28
Marseille,37,21,15,4.8,0.4,37.2,17.2,41.0,9.0,2025-03-28
Toulouse,57,57,19,2.4,,36.9,16.0,51.0,8.7,2025-03-28
Lyon,41,41,,3.6,,34.9,16.0,44.0,5.6,2025-03-28
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-28
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-28
Nice,39,31,10,6.8,1.1,38.5,17.0,72.0,2.8,2025-03-28
Strasbourg,34,63,9,7.4,,34.0,16.0,42.5,2.0,2025-03-28
Paris,29,64,13,12.4,0.6,29.0,12.7,67.7,2.2,2025-03-28
Rennes,33,21,7,3.6,,33.3,12.0,76.0,4.1,2025-03-28
Nantes,27,8,4,3.0,,26.8,12.0,90.0,5.6,2025-03-28
Marseille,37,21,15,4.8,0.4,37.2,17.2,41.0,9.0,2025-03-28
Toulouse,52,52,16,2.4,,36.9,16.0,51.0,8.7,2025-03-28
Lyon,41,41,,3.6,,34.9,16.0,44.0,5.6,2025-03-28
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-28
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-28
Nice,39,31,10,6.8,1.1,38.5,17.0,72.0,2.8,2025-03-28
Strasbourg,34,63,9,7.4,,34.0,16.0,42.5,2.0,2025-03-28
Paris,29,64,13,12.4,0.6,29.0,12.7,67.7,2.2,2025-03-28
Rennes,33,21,7,3.6,,33.3,12.0,76.0,4.1,2025-03-28
Nantes,27,8,4,3.0,,26.8,12.0,90.0,5.6,2025-03-28
Marseille,37,21,15,4.8,0.4,37.2,17.2,41.0,9.0,2025-03-28
Toulouse,52,52,16,2.4,,36.9,16.0,51.0,8.7,2025-03-28
Lyon,41,41,,3.6,,34.9,16.0,44.0,5.6,2025-03-28
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-28
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-28
Nice,39,31,10,6.8,1.1,38.5,17.0,72.0,2.8,2025-03-28
Strasbourg,34,63,9,7.4,,34.0,16.0,42.5,2.0,2025-03-28
Paris,29,64,13,12.4,0.6,29.0,12.7,67.7,2.2,2025-03-28
Rennes,33,21,7,3.6,,33.3,12.0,76.0,4.1,2025-03-28
Nantes,27,8,4,3.0,,26.8,12.0,90.0,5.6,2025-03-28
Marseille,37,21,15,4.8,0.4,37.2,17.2,41.0,9.0,2025-03-28
Toulouse,52,52,16,2.4,,36.9,16.0,51.0,8.7,2025-03-28
Lyon,41,41,,3.6,,34.9,16.0,44.0,5.6,2025-03-28
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-28
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-28
Nice,42,42,12,7.4,1.1,38.8,16.5,69.5,2.0,2025-03-28
Strasbourg,37,63,12,8.8,,36.8,17.0,36.0,1.5,2025-03-28
Paris,29,64,13,12.4,0.6,29.0,12.7,67.7,2.2,2025-03-28
Rennes,36,35,14,2.7,,36.1,12.0,71.0,5.6,2025-03-28
Nantes,30,13,4,2.4,,30.3,10.5,93.0,4.3,2025-03-28
Marseille,37,22,16,5.9,0.4,37.2,17.2,41.0,5.0,2025-03-28
Toulouse,52,52,16,2.5,,37.0,15.5,52.5,9.0,2025-03-28
Lyon,41,41,,3.6,,36.3,16.0,46.0,5.4,2025-03-28
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-28
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-03-28
Nice,43,33,11,5.4,1.1,43.4,16.0,72,2.0,2025-03-28
Strasbourg,37,63,14,10.9,,36.6,18.0,34,1.5,2025-03-28
Paris,45,45,17,15.4,0.6,23.1,10.5,93,1.0,2025-03-28
Rennes,36,28,12,3.2,,35.7,11.0,66,7.2,2025-03-28
Nantes,29,23,8,2.5,,29.2,11.0,76,2.5,2025-03-28
Marseille,37,25,19,6.7,0.3,37.1,16.1,41,6.0,2025-03-28
Toulouse,39,39,15,3.0,,35.4,15.0,54,8.2,2025-03-28
Lyon,38,38,,3.6,,35.0,15.0,51,5.6,2025-03-28
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-28
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-03-28
Nice,39,39,14,6.7,1.1,39.4,15.0,76,2.0,2025-03-28
Strasbourg,37,63,18,11.3,,36.6,14.0,44,1.5,2025-03-28
Paris,45,45,17,19.8,0.6,20.2,9.4,88,4.5,2025-03-28
Rennes,34,25,10,3.8,,34.0,10.0,66,7.7,2025-03-28
Nantes,31,31,12,3.0,,29.6,11.0,76,2.5,2025-03-28
Marseille,38,25,16,6.2,0.2,37.9,14.4,44,4.0,2025-03-28
Toulouse,33,25,10,3.4,,33.4,14.0,58,8.7,2025-03-28
Lyon,52,52,,3.6,,33.1,15.0,47,5.6,2025-03-28
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-28
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-28
Nice,48,48,15,13.8,1.1,26.9,15.0,82.0,2.5,2025-03-28
Strasbourg,34,63,15,20.1,,34.2,12.0,54.0,1.0,2025-03-28
Paris,23,23,17,19.8,0.6,18.8,8.8,88.5,2.5,2025-03-28
Rennes,33,26,11,4.2,,33.4,9.0,70.0,5.1,2025-03-28
Nantes,30,30,10,4.4,,26.8,10.0,71.0,2.5,2025-03-28
Marseille,38,26,14,5.8,0.2,38.4,13.8,46.0,5.0,2025-03-28
Toulouse,34,17,8,2.9,,33.6,12.0,64.0,7.7,2025-03-28
Lyon,65,65,,7.3,,34.4,14.0,50.0,5.4,2025-03-28
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-28
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-28
Nice,59,59,21,28.0,1.1,7.2,14.0,71.0,3.0,2025-03-28
Strasbourg,34,63,15,20.1,,34.2,12.0,54.0,1.0,2025-03-28
Paris,31,31,17,19.4,0.6,18.8,8.8,89.7,2.0,2025-03-28
Rennes,35,35,15,4.8,,31.7,8.0,70.0,4.6,2025-03-28
Nantes,31,23,8,2.4,,30.5,8.0,75.0,2.5,2025-03-28
Marseille,39,26,16,4.5,0.2,39.2,13.3,48.0,5.0,2025-03-28
Toulouse,31,10,5,2.8,,31.0,11.5,76.0,7.7,2025-03-28
Lyon,75,75,,6.7,,34.6,13.0,54.0,7.7,2025-03-28
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-28
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-28
Nice,55,55,18,19.5,1.1,11.9,14.0,71.0,3.0,2025-03-28
Strasbourg,36,63,36,46.5,,11.4,10.0,66.0,2.5,2025-03-28
Paris,36,36,14,14.2,0.6,22.1,8.7,83.7,4.2,2025-03-28
Rennes,33,33,14,3.7,,32.3,6.0,75.0,3.6,2025-03-28
Nantes,30,25,10,2.4,,30.4,8.0,75.0,2.5,2025-03-28
Marseille,39,31,18,3.8,0.1,38.8,12.7,54.0,4.0,2025-03-28
Toulouse,32,11,5,2.3,,31.5,11.0,76.0,6.9,2025-03-28
Lyon,70,70,,4.4,,31.4,12.0,62.0,6.6,2025-03-28
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-28
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-03-28
Nice,58,58,19,17.7,1.1,10.4,14.0,67,2.5,2025-03-28
Strasbourg,36,63,36,46.5,,11.4,10.0,66,2.5,2025-03-28
Paris,52,52,14,12.0,0.6,22.9,8.3,79,3.0,2025-03-28
Rennes,34,34,14,3.7,,32.3,5.0,86,2.5,2025-03-28
Nantes,30,27,11,2.6,,30.0,7.0,81,2.5,2025-03-28
Marseille,43,43,26,3.8,0.2,37.9,12.2,57,4.0,2025-03-28
Toulouse,32,11,5,2.3,,31.5,11.0,81,8.2,2025-03-28
Lyon,57,57,,4.4,,31.4,10.0,66,4.1,2025-03-28
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-28
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-03-29
Nice,59,59,20,17.7,1.1,9.1,13.0,82,3.0,2025-03-29
Strasbourg,32,63,32,27.9,,17.6,10.5,66,3.0,2025-03-29
Paris,62,62,18,10.9,0.6,23.4,8.3,78,7.0,2025-03-29
Rennes,38,38,15,5.8,,31.0,5.0,93,4.1,2025-03-29
Nantes,28,28,11,2.5,,28.4,7.0,81,2.5,2025-03-29
Marseille,53,53,22,3.8,0.1,38.1,12.2,57,4.0,2025-03-29
Toulouse,33,15,5,2.1,,32.5,10.0,87,8.2,2025-03-29
Lyon,57,57,,3.8,,29.3,10.0,66,4.8,2025-03-29
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-29
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-03-29
Nice,52,52,17,15.6,1.1,8.8,12.0,81,2.5,2025-03-29
Strasbourg,27,63,27,15.9,,20.8,11.0,66,3.0,2025-03-29
Paris,65,65,21,9.2,0.6,25.7,8.3,78,5.0,2025-03-29
Rennes,42,42,16,5.4,,25.3,5.0,93,3.6,2025-03-29
Nantes,28,28,11,2.5,,28.4,7.0,81,2.5,2025-03-29
Marseille,55,55,20,4.6,0.2,36.6,11.6,59,3.0,2025-03-29
Toulouse,33,15,5,1.7,,32.8,10.0,93,8.7,2025-03-29
Lyon,57,57,,3.8,,29.3,10.0,66,4.8,2025-03-29
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-29
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-29
Nice,49,49,14,13.9,1.1,8.2,12.0,81.0,2.0,2025-03-29
Strasbourg,23,63,20,8.1,,22.5,9.5,73.5,1.5,2025-03-29
Paris,48,48,20,10.5,0.6,25.6,7.9,80.5,4.0,2025-03-29
Rennes,39,39,16,5.1,,23.9,5.0,86.0,3.6,2025-03-29
Nantes,30,28,12,1.5,,30.4,6.0,81.0,3.0,2025-03-29
Marseille,52,52,18,4.1,0.2,36.7,10.5,62.0,4.0,2025-03-29
Toulouse,31,16,5,1.7,,31.0,8.5,87.0,9.2,2025-03-29
Lyon,57,57,,3.8,,29.3,9.0,70.0,3.0,2025-03-29
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-29
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-29
Nice,43,43,13,10.7,1.1,10.4,12.0,76.0,3.6,2025-03-29
Strasbourg,30,63,30,5.5,,24.9,9.0,76.0,2.0,2025-03-29
Paris,48,48,20,10.5,0.6,25.6,7.9,80.5,4.0,2025-03-29
Rennes,35,35,15,4.3,,23.7,4.0,86.0,3.0,2025-03-29
Nantes,30,25,11,1.5,,30.4,5.0,86.0,3.0,2025-03-29
Marseille,35,31,11,2.8,0.3,34.9,10.0,63.0,2.0,2025-03-29
Toulouse,32,16,5,1.6,,31.5,8.5,87.0,9.2,2025-03-29
Lyon,43,43,,3.8,,29.3,8.0,78.0,3.0,2025-03-29
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-29
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-29
Nice,38,38,11,8.3,1.1,12.4,11.0,81.0,4.1,2025-03-29
Strasbourg,30,63,30,5.5,,24.8,8.0,75.0,3.0,2025-03-29
Paris,49,49,21,10.1,0.6,26.8,7.7,80.6,4.2,2025-03-29
Rennes,32,32,14,3.9,,24.2,3.0,93.0,2.5,2025-03-29
Nantes,30,26,11,1.0,,29.9,5.0,86.0,2.0,2025-03-29
Marseille,36,36,12,2.4,0.3,35.2,9.4,67.0,8.0,2025-03-29
Toulouse,31,29,9,1.7,,31.2,7.5,90.0,7.2,2025-03-29
Lyon,43,43,,3.8,,29.3,8.0,75.0,4.1,2025-03-29
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-29
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-29
Nice,32,32,10,8.2,1.1,14.3,11.0,76.0,4.6,2025-03-29
Strasbourg,28,63,28,8.0,,24.3,8.5,75.5,2.8,2025-03-29
Paris,56,56,15,8.7,0.6,18.0,8.1,75.0,6.6,2025-03-29
Rennes,29,29,13,2.9,,24.6,3.0,86.0,2.5,2025-03-29
Nantes,28,27,11,1.5,,27.8,4.0,86.0,1.5,2025-03-29
Marseille,34,33,11,2.9,0.3,33.8,8.8,69.0,10.0,2025-03-29
Toulouse,31,21,7,1.6,,31.3,7.0,84.0,7.7,2025-03-29
Lyon,24,43,,3.0,,23.5,9.0,76.0,3.6,2025-03-29
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-29
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-29
Nice,28,28,9,10.4,1.1,12.3,11.0,76.0,4.6,2025-03-29
Strasbourg,31,63,31,4.7,,22.5,8.0,81.0,2.5,2025-03-29
Paris,50,50,14,11.8,0.6,17.6,8.0,72.8,6.0,2025-03-29
Rennes,30,30,14,4.0,,24.8,3.0,93.0,2.5,2025-03-29
Nantes,27,27,12,2.0,,26.3,4.0,93.0,2.0,2025-03-29
Marseille,33,31,11,2.9,0.2,32.7,8.3,72.0,4.0,2025-03-29
Toulouse,32,21,7,1.9,,31.9,6.0,87.0,6.4,2025-03-29
Lyon,24,43,,3.0,,23.5,7.5,87.0,6.9,2025-03-29
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-29
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-29
Nice,36,36,12,12.1,1.1,10.3,11.0,73.5,4.1,2025-03-29
Strasbourg,32,63,32,5.8,,19.8,8.5,78.5,3.3,2025-03-29
Paris,18,50,10,15.7,0.6,18.3,6.6,76.5,3.0,2025-03-29
Rennes,30,30,14,4.0,,23.2,3.0,93.0,2.5,2025-03-29
Nantes,26,26,12,2.2,,25.2,4.0,93.0,2.5,2025-03-29
Marseille,38,38,12,3.4,0.2,31.9,7.7,74.0,3.0,2025-03-29
Toulouse,30,21,7,2.9,,30.3,6.0,87.0,6.1,2025-03-29
Lyon,24,43,,2.6,,23.5,8.0,87.0,6.6,2025-03-29
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-29
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-29
Nice,42,42,20,16.8,1.1,16.9,16.0,55.0,2.5,2025-03-29
Strasbourg,30,63,30,10.6,,17.3,11.0,71.0,5.1,2025-03-29
Paris,21,49,18,13.1,0.6,20.6,10.1,59.7,6.2,2025-03-29
Rennes,31,18,8,1.6,,30.6,12.0,66.0,4.6,2025-03-29
Nantes,30,26,11,1.1,,30.1,10.5,73.5,3.8,2025-03-29
Marseille,33,15,10,2.2,0.4,33.1,13.3,59.0,3.0,2025-03-29
Toulouse,33,23,9,2.4,,32.6,11.0,53.0,11.3,2025-03-29
Lyon,30,43,,2.6,,29.8,9.0,81.0,9.0,2025-03-29
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-29
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-29
Nice,38,36,13,3.3,1.1,38.3,15.5,77.0,4.3,2025-03-29
Strasbourg,30,63,30,10.6,,17.3,11.0,71.0,5.1,2025-03-29
Paris,50,50,26,14.7,0.6,23.6,11.1,53.5,8.0,2025-03-29
Rennes,30,18,8,1.7,,29.9,12.0,54.0,4.6,2025-03-29
Nantes,31,22,9,0.9,,31.2,11.0,62.0,3.0,2025-03-29
Marseille,33,14,9,3.1,0.3,32.8,15.0,52.0,3.0,2025-03-29
Toulouse,34,22,9,2.2,,34.3,10.0,61.0,10.2,2025-03-29
Lyon,30,43,,2.4,,29.8,10.0,76.0,7.2,2025-03-29
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-29
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-29
Nice,46,46,16,4.8,1.1,35.3,16.0,67.0,2.5,2025-03-29
Strasbourg,25,63,25,8.3,,23.0,11.5,68.5,4.1,2025-03-29
Paris,30,30,15,13.1,0.6,28.0,12.2,47.5,10.0,2025-03-29
Rennes,32,17,7,1.6,,31.7,13.0,54.0,3.0,2025-03-29
Nantes,32,18,7,0.9,,32.2,12.0,58.0,3.0,2025-03-29
Marseille,32,16,9,3.5,0.3,32.0,15.5,48.0,2.0,2025-03-29
Toulouse,34,20,8,2.7,,34.2,11.0,57.0,11.3,2025-03-29
Lyon,28,43,,2.4,,28.4,10.0,76.0,7.4,2025-03-29
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-29
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-03-29
Nice,48,48,17,5.0,1.1,35.7,16.0,72,3.0,2025-03-29
Strasbourg,25,63,25,11.4,,23.8,12.5,64,3.8,2025-03-29
Paris,38,38,15,9.5,0.6,28.2,12.7,45,9.0,2025-03-29
Rennes,33,15,6,1.6,,32.7,14.0,47,3.0,2025-03-29
Nantes,33,17,6,0.6,,33.0,12.5,56,3.0,2025-03-29
Marseille,31,15,9,3.9,0.3,31.0,15.0,56,1.0,2025-03-29
Toulouse,34,24,9,2.4,,33.6,11.0,62,9.7,2025-03-29
Lyon,25,43,,3.7,,25.3,9.5,76,9.0,2025-03-29
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-29
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-03-29
Nice,49,49,18,6.4,1.1,35.8,16.0,72,4.6,2025-03-29
Strasbourg,23,63,23,9.3,,22.6,13.0,62,3.0,2025-03-29
Paris,37,37,15,9.1,0.6,30.2,13.3,45,5.0,2025-03-29
Rennes,34,15,6,1.4,,33.6,14.0,47,3.0,2025-03-29
Nantes,34,14,5,0.6,,34.2,13.5,54,3.6,2025-03-29
Marseille,29,18,10,5.7,0.3,28.8,15.0,56,5.0,2025-03-29
Toulouse,34,24,9,2.5,,33.5,11.5,60,8.7,2025-03-29
Lyon,25,43,,3.7,,25.3,10.0,71,10.2,2025-03-29
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-29
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-29
Nice,44,44,15,7.8,1.1,34.6,16.0,77.0,4.1,2025-03-29
Strasbourg,26,63,20,6.9,,25.6,14.0,58.0,2.5,2025-03-29
Paris,37,37,8,9.7,0.6,31.1,13.6,42.5,6.5,2025-03-29
Rennes,34,13,6,1.3,,33.9,15.0,47.0,3.0,2025-03-29
Nantes,35,12,5,0.5,,35.0,14.0,50.0,3.6,2025-03-29
Marseille,30,20,10,5.4,0.2,29.8,14.4,59.0,1.0,2025-03-29
Toulouse,35,23,8,2.3,,34.7,13.0,54.0,7.9,2025-03-29
Lyon,26,43,,3.9,,26.3,11.0,66.0,11.3,2025-03-29
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-29
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-29
Nice,45,45,15,8.3,1.1,32.9,17.0,72.0,3.0,2025-03-29
Strasbourg,27,63,9,6.9,,26.6,14.0,58.0,3.6,2025-03-29
Paris,41,41,19,10.5,0.6,29.7,13.6,39.5,6.5,2025-03-29
Rennes,34,16,8,1.4,,34.1,14.0,44.0,2.0,2025-03-29
Nantes,35,11,5,0.6,,35.1,14.0,47.0,3.0,2025-03-29
Marseille,28,24,11,6.3,0.3,28.3,15.0,57.0,4.0,2025-03-29
Toulouse,35,23,8,2.3,,34.7,13.0,47.0,9.2,2025-03-29
Lyon,28,43,,3.9,,28.2,11.0,66.0,8.2,2025-03-29
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-29
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-29
Nice,46,46,17,10.0,1.1,30.0,17.0,67.0,3.0,2025-03-29
Strasbourg,27,63,10,8.5,,27.3,13.0,58.0,3.0,2025-03-29
Paris,43,43,19,12.1,0.6,31.0,13.3,41.3,6.3,2025-03-29
Rennes,35,16,7,1.6,,34.5,14.0,47.0,2.0,2025-03-29
Nantes,35,11,5,0.8,,34.9,13.0,58.0,5.1,2025-03-29
Marseille,30,30,13,6.2,0.3,25.8,15.0,56.0,4.0,2025-03-29
Toulouse,35,23,8,2.5,,35.2,12.0,46.0,9.2,2025-03-29
Lyon,28,43,,4.0,,28.1,11.0,64.0,6.6,2025-03-29
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-29
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-29
Nice,39,39,14,13.1,1.1,26.9,15.0,82.0,3.0,2025-03-29
Strasbourg,27,63,13,10.5,,27.3,12.0,62.0,1.5,2025-03-29
Paris,52,52,17,14.4,0.6,31.4,12.2,44.2,5.0,2025-03-29
Rennes,34,18,8,2.8,,34.3,14.0,44.0,0.5,2025-03-29
Nantes,35,23,9,1.9,,35.4,11.0,66.0,4.6,2025-03-29
Marseille,39,39,13,6.6,0.3,22.7,12.2,64.0,3.0,2025-03-29
Toulouse,36,18,7,2.9,,35.8,11.5,48.0,6.9,2025-03-29
Lyon,28,43,,4.7,,28.1,11.0,62.0,7.2,2025-03-29
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-29
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-03-29
Nice,36,36,15,10.2,1.1,27.8,15.0,82,2.0,2025-03-29
Strasbourg,26,63,18,13.4,,26.2,10.0,71,1.5,2025-03-29
Paris,52,52,17,14.4,0.6,31.4,16.1,51,8.0,2025-03-29
Rennes,31,29,12,4.3,,31.0,11.0,53,1.0,2025-03-29
Nantes,34,26,10,3.5,,33.6,10.0,71,3.6,2025-03-29
Marseille,45,45,14,7.6,0.2,21.8,10.5,70,2.5,2025-03-29
Toulouse,34,18,7,3.8,,34.3,11.0,50,6.1,2025-03-29
Lyon,29,43,,3.5,,29.3,11.0,57,8.2,2025-03-29
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-29
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-29
Nice,55,55,20,25.1,1.1,8.5,15.0,82.0,2.3,2025-03-29
Strasbourg,26,63,11,13.7,,26.2,8.0,81.0,2.0,2025-03-29
Paris,31,52,15,17.7,0.6,31.4,14.4,54.0,7.0,2025-03-29
Rennes,66,66,12,7.6,,23.1,10.0,61.0,1.5,2025-03-29
Nantes,31,28,11,4.4,,30.5,9.5,73.5,3.3,2025-03-29
Marseille,40,40,12,7.2,0.2,21.8,9.4,74.0,2.5,2025-03-29
Toulouse,33,15,6,4.5,,32.8,10.5,51.5,5.4,2025-03-29
Lyon,33,43,,3.1,,33.1,10.0,57.0,6.6,2025-03-29
Bordeaux,50,50,28,6.9,,14.7,,,,2025-03-29
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-03-29
Nice,55,55,18,22.8,1.1,7.4,14.0,76,2.0,2025-03-29
Strasbourg,24,63,17,25.4,,24.1,7.0,81,1.0,2025-03-29
Paris,30,48,17,23.4,0.6,29.9,13.3,59,7.0,2025-03-29
