Ville,Information_Qualite_Air,Indice_IQA_PM_25,Indice_IQA_PM_10,Indice_IQA_No2,Indice_IQA_So2,Indice_IQA_Ozone,Temperature (°C),Humidite_AQ,Vent,date
Nice,20,20,10,17.0,1.1,5.2,12.0,62,3.6,2025-03-31
Strasbourg,25,63,15,5.1,,25.3,8.0,65,4.8,2025-03-31
Paris,61,61,19,12.3,0.6,18.9,8.3,93,5.6,2025-03-31
Rennes,20,18,5,2.9,,19.6,6.0,100,1.5,2025-03-31
Nantes,38,38,10,3.1,,20.6,7.0,93,2.0,2025-03-31
Marseille,29,10,5,2.9,0.2,29.0,8.3,77,1.0,2025-03-31
Toulouse,20,20,7,3.4,,17.6,7.5,90,2.5,2025-03-31
Lyon,20,20,,2.5,,26.2,9.0,87,5.6,2025-03-31
Bordeaux,32,,24,1.4,,32.1,13.0,71,4.8,2025-03-31
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-03-31
Nice,27,27,15,23.4,1.1,0.7,12.0,62,6.1,2025-03-31
Strasbourg,24,63,15,7.8,,24.2,7.0,70,4.8,2025-03-31
Paris,61,61,19,12.3,0.6,18.9,8.3,93,5.6,2025-03-31
Rennes,20,15,5,3.4,,20.2,7.0,100,2.0,2025-03-31
Nantes,38,38,10,3.1,,20.6,7.0,93,2.0,2025-03-31
Marseille,28,11,6,3.5,0.3,27.7,7.7,79,2.0,2025-03-31
Toulouse,20,20,7,5.3,,15.5,7.0,87,1.0,2025-03-31
Lyon,27,27,,2.5,,26.2,9.0,87,5.1,2025-03-31
Bordeaux,32,,24,1.4,,32.1,13.0,71,4.8,2025-03-31
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-03-31
Nice,37,37,26,23.7,1.1,1.3,14.0,54,4.6,2025-03-31
Strasbourg,22,63,13,18.1,,21.8,9.0,66,5.6,2025-03-31
Paris,53,53,26,19.9,0.6,9.1,8.1,81,3.5,2025-03-31
Rennes,30,30,12,5.5,,17.3,7.0,100,2.5,2025-03-31
Nantes,10,38,10,8.0,0.1,20.6,7.0,100,2.5,2025-03-31
Marseille,25,13,9,6.6,0.2,25.3,9.4,79,1.0,2025-03-31
Toulouse,20,20,7,10.5,,10.7,8.0,93,0.5,2025-03-31
Lyon,27,27,,3.8,,20.0,9.0,87,6.1,2025-03-31
Bordeaux,32,,24,1.4,,32.1,13.0,71,4.8,2025-03-31
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-03-31
Nice,40,40,27,25.0,1.1,3.5,17.0,48,3.0,2025-03-31
Strasbourg,20,63,17,18.8,,19.9,10.0,61,6.1,2025-03-31
Paris,53,53,26,19.9,0.6,9.1,8.1,81,3.5,2025-03-31
Rennes,52,52,17,6.8,,17.5,8.0,100,1.5,2025-03-31
Nantes,29,29,8,7.5,,14.5,7.0,100,3.0,2025-03-31
Marseille,27,13,9,5.6,0.4,27.2,13.8,56,2.0,2025-03-31
Toulouse,20,20,8,17.6,,4.6,8.5,93,1.5,2025-03-31
Lyon,38,38,,4.7,,22.8,11.0,62,7.7,2025-03-31
Bordeaux,32,,24,1.4,,32.1,13.0,71,4.8,2025-03-31
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-03-31
Nice,40,40,25,24.3,1.1,8.6,19.0,39,3.0,2025-03-31
Strasbourg,25,63,25,11.8,,23.9,11.0,57,5.6,2025-03-31
Paris,34,61,34,29.0,0.6,5.3,9.4,75,17.0,2025-03-31
Rennes,52,52,21,6.8,,17.5,10.0,87,2.0,2025-03-31
Nantes,36,36,12,5.2,,17.4,7.5,100,2.8,2025-03-31
Marseille,33,13,8,2.9,0.3,32.7,16.1,48,2.0,2025-03-31
Toulouse,35,35,19,5.1,,23.4,10.5,87,3.0,2025-03-31
Lyon,45,45,,4.7,,27.3,12.0,54,8.7,2025-03-31
Bordeaux,32,,24,1.4,,32.1,13.0,71,4.8,2025-03-31
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-31
Nice,30,30,22,17.8,1.1,19.4,18.5,51.0,3.3,2025-03-31
Strasbourg,26,63,17,11.1,,25.5,11.0,53.0,5.1,2025-03-31
Paris,34,72,34,25.4,0.6,19.3,10.0,75.0,13.0,2025-03-31
Rennes,56,56,21,4.7,,20.6,13.0,76.0,2.0,2025-03-31
Nantes,47,47,15,3.9,,19.9,12.0,81.0,2.5,2025-03-31
Marseille,33,12,9,3.4,0.5,33.4,18.3,43.0,2.0,2025-03-31
Toulouse,35,35,19,6.0,,23.3,13.0,78.5,2.5,2025-03-31
Lyon,44,44,,3.1,,27.3,13.0,58.0,8.2,2025-03-31
Bordeaux,32,,24,1.4,,32.1,13.0,71.0,4.8,2025-03-31
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-31
Nice,42,17,16,2.3,1.1,42.0,20.0,37.0,5.1,2025-03-31
Strasbourg,26,63,15,8.6,,26.1,12.0,46.0,3.0,2025-03-31
Paris,57,57,32,13.6,0.6,23.1,12.7,58.0,7.0,2025-03-31
Rennes,61,61,31,3.0,,28.7,16.0,59.0,3.0,2025-03-31
Nantes,46,46,15,1.8,,30.4,16.0,55.0,5.1,2025-03-31
Marseille,34,17,12,3.8,0.1,33.8,19.4,43.0,7.0,2025-03-31
Toulouse,31,28,11,2.2,,31.0,16.5,57.0,3.8,2025-03-31
Lyon,33,44,,2.4,,32.7,14.5,49.0,9.5,2025-03-31
Bordeaux,24,,24,1.4,,24.4,14.5,66.5,3.0,2025-03-31
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-03-31
Nice,43,14,14,2.6,1.1,43.2,20.0,40,2.5,2025-03-31
Strasbourg,30,63,16,7.6,,29.6,13.0,43,2.5,2025-03-31
Paris,57,57,32,13.6,0.6,23.1,12.7,58,7.0,2025-03-31
Rennes,59,59,28,2.7,,31.8,17.0,51,2.5,2025-03-31
Nantes,44,44,16,1.8,,34.3,17.0,51,5.1,2025-03-31
Marseille,33,21,18,6.4,0.3,33.4,20.5,39,4.0,2025-03-31
Toulouse,18,18,7,2.2,,31.0,17.0,57,3.8,2025-03-31
Lyon,33,44,,2.4,,32.7,15.0,44,8.2,2025-03-31
Bordeaux,28,,24,1.4,,28.1,16.5,57,3.6,2025-03-31
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-31
Nice,42,12,8,5.0,1.1,42.0,20.0,45.0,2.0,2025-03-31
Strasbourg,33,63,14,7.2,,32.9,13.0,40.0,3.0,2025-03-31
Paris,60,60,21,15.5,0.6,26.7,33.3,50.0,11.0,2025-03-31
Rennes,58,58,34,2.5,,35.0,17.0,51.0,4.1,2025-03-31
Nantes,46,46,16,2.2,,37.2,17.5,49.5,6.4,2025-03-31
Marseille,36,18,14,6.9,0.4,36.4,21.1,34.0,4.0,2025-03-31
Toulouse,34,18,7,1.8,,33.5,18.0,48.0,3.6,2025-03-31
Lyon,33,44,,2.4,,33.0,15.0,44.0,8.7,2025-03-31
Bordeaux,31,,24,1.4,,30.5,18.0,52.0,3.8,2025-03-31
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-31
Nice,44,13,8,3.4,1.1,44.1,19.0,52.0,1.5,2025-03-31
Strasbourg,33,63,13,7.5,,32.5,13.0,40.0,2.5,2025-03-31
Paris,56,56,28,18.7,0.6,30.7,15.1,40.7,5.7,2025-03-31
Rennes,54,54,34,2.0,,37.0,18.0,45.0,3.6,2025-03-31
Nantes,41,41,15,2.5,,38.7,17.0,48.0,6.1,2025-03-31
Marseille,38,19,12,4.8,0.4,37.9,21.1,34.0,4.0,2025-03-31
Toulouse,36,18,7,2.0,,35.8,19.0,48.0,4.1,2025-03-31
Lyon,34,44,,2.4,,33.5,15.5,42.5,8.4,2025-03-31
Bordeaux,34,,24,1.4,,33.8,19.5,43.5,4.3,2025-03-31
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-31
Nice,44,13,9,3.7,1.1,44.2,18.0,59.0,2.0,2025-03-31
Strasbourg,33,63,9,8.6,,32.8,13.0,41.5,2.3,2025-03-31
Paris,43,43,36,18.7,0.6,31.5,31.6,44.0,10.0,2025-03-31
Rennes,54,54,34,2.0,,39.2,18.0,45.0,5.1,2025-03-31
Nantes,42,42,15,1.9,,39.5,18.0,48.0,5.1,2025-03-31
Marseille,36,21,14,6.7,0.4,36.3,20.5,34.0,6.0,2025-03-31
Toulouse,37,14,7,2.2,,37.1,19.0,48.0,3.3,2025-03-31
Lyon,32,44,,2.4,,32.3,15.0,44.0,8.2,2025-03-31
Bordeaux,34,,24,1.4,,33.8,19.5,43.5,4.3,2025-03-31
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-31
Nice,47,13,8,3.3,1.1,46.7,18.0,48.0,1.0,2025-03-31
Strasbourg,33,63,12,9.9,,32.9,12.0,43.0,2.0,2025-03-31
Paris,84,84,36,14.8,0.6,31.5,28.5,43.6,13.6,2025-03-31
Rennes,53,53,34,1.6,,37.7,18.0,45.0,4.1,2025-03-31
Nantes,40,39,15,1.8,,40.1,18.0,45.0,6.1,2025-03-31
Marseille,32,22,13,10.4,0.5,31.8,20.0,39.0,4.0,2025-03-31
Toulouse,14,14,8,2.6,,36.5,18.0,48.0,3.6,2025-03-31
Lyon,33,44,,2.4,,33.1,14.0,44.0,8.7,2025-03-31
Bordeaux,36,,24,1.4,,35.8,20.0,38.5,5.1,2025-03-31
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-31
Nice,46,14,6,3.2,1.1,45.7,16.0,63.0,2.0,2025-03-31
Strasbourg,32,63,10,10.8,,32.1,11.0,50.0,1.0,2025-03-31
Paris,62,62,20,19.5,0.6,31.2,22.7,43.7,12.0,2025-03-31
Rennes,52,52,26,2.1,,37.7,16.0,51.0,3.6,2025-03-31
Nantes,39,39,13,2.1,,39.0,17.0,48.0,5.1,2025-03-31
Marseille,25,23,14,15.5,0.5,24.5,17.7,44.0,3.0,2025-03-31
Toulouse,35,14,8,3.2,,35.0,16.5,51.0,2.8,2025-03-31
Lyon,33,44,,2.4,,33.4,14.0,44.0,8.2,2025-03-31
Bordeaux,36,,24,1.4,,35.8,19.0,39.0,5.1,2025-03-31
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-31
Nice,51,51,17,11.0,1.1,33.1,16.0,63.0,1.5,2025-03-31
Strasbourg,30,63,17,13.0,,29.7,10.0,53.0,0.5,2025-03-31
Paris,58,58,18,22.8,0.6,31.4,18.1,47.5,10.0,2025-03-31
Rennes,33,30,26,3.1,,32.7,15.0,51.0,3.6,2025-03-31
Nantes,37,32,11,2.8,,36.5,15.0,54.0,3.0,2025-03-31
Marseille,27,23,13,11.5,0.4,26.5,14.4,54.0,1.0,2025-03-31
Toulouse,28,14,7,7.9,,27.9,15.0,58.0,2.5,2025-03-31
Lyon,33,44,,2.4,,33.3,12.5,48.5,6.6,2025-03-31
Bordeaux,32,,24,1.4,,32.1,17.0,48.0,4.1,2025-03-31
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-03-31
Nice,46,46,17,18.0,1.1,21.5,16.0,59.0,2.0,2025-03-31
Strasbourg,26,63,15,23.6,,25.6,10.0,53.0,2.5,2025-03-31
Paris,54,54,19,21.9,0.6,31.3,16.4,53.6,9.0,2025-03-31
Rennes,31,19,9,3.5,,30.9,12.0,62.0,3.0,2025-03-31
Nantes,32,25,10,3.3,,32.1,14.0,50.0,5.1,2025-03-31
Marseille,31,31,15,20.1,0.4,15.8,12.2,59.0,1.0,2025-03-31
Toulouse,18,14,7,14.5,,18.0,13.5,60.0,1.5,2025-03-31
Lyon,33,44,,2.4,,32.5,11.0,53.0,8.4,2025-03-31
Bordeaux,30,,24,1.4,,30.1,16.0,51.0,5.1,2025-03-31
Lille,61,61,8,20.6,1.1,15.6,5,79,0.4,2025-03-31
Nice,25,24,11,11.6,1.1,24.7,14,50,3.6,2025-03-31
Strasbourg,26,63,21,14.8,,25.6,9,57,2.5,2025-03-31
Paris,53,53,26,28.2,0.6,28.1,15,57,10.0,2025-03-31
Rennes,29,20,10,2.9,,29.4,11,62,3.0,2025-03-31
Nantes,30,21,7,3.1,,30.3,13,50,5.6,2025-03-31
Marseille,35,35,16,19.2,0.3,15.7,10,67,1.0,2025-03-31
Toulouse,28,28,11,14.5,,18.0,11,71,1.5,2025-03-31
Lyon,33,44,,2.4,,32.5,11,53,8.4,2025-03-31
Bordeaux,30,,24,1.4,,30.1,16,51,5.1,2025-03-31
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-04-01
Nice,21,17,7,11.2,1.1,21.0,13.0,50,3.8,2025-04-01
Strasbourg,22,63,17,13.3,,21.5,8.0,61,2.5,2025-04-01
Paris,58,58,26,22.8,0.6,22.7,12.4,65,10.0,2025-04-01
Rennes,28,23,9,3.3,,27.8,10.0,57,5.1,2025-04-01
Nantes,30,24,8,2.8,,30.2,12.0,54,5.6,2025-04-01
Marseille,24,18,8,11.6,0.2,24.2,6.6,71,1.0,2025-04-01
Toulouse,28,28,11,11.3,,16.7,9.0,81,1.0,2025-04-01
Lyon,31,44,,1.9,,30.9,9.5,55,4.1,2025-04-01
Bordeaux,30,,24,1.4,,29.7,14.0,50,5.6,2025-04-01
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-04-01
Nice,21,15,7,9.9,1.1,21.4,13.0,47,3.6,2025-04-01
Strasbourg,22,63,17,11.5,,21.9,8.0,61,3.6,2025-04-01
Paris,46,46,18,21.6,0.6,21.5,11.5,70,8.0,2025-04-01
Rennes,30,30,12,3.2,,27.1,9.0,66,4.6,2025-04-01
Nantes,28,28,10,2.8,,27.5,11.0,53,5.1,2025-04-01
Marseille,28,16,6,8.3,0.2,27.8,6.6,73,0.5,2025-04-01
Toulouse,38,38,13,8.8,,19.0,9.0,81,1.0,2025-04-01
Lyon,31,44,,1.9,,30.9,8.0,61,3.0,2025-04-01
Bordeaux,28,,24,1.4,,28.1,13.0,50,4.6,2025-04-01
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-01
Nice,22,14,6,9.2,1.1,21.9,12.0,50.0,4.1,2025-04-01
Strasbourg,22,63,21,11.5,,21.9,7.0,65.5,3.0,2025-04-01
Paris,60,60,33,21.6,0.6,21.5,11.1,70.0,9.0,2025-04-01
Rennes,39,39,14,2.5,,26.8,9.0,61.0,4.6,2025-04-01
Nantes,33,33,10,2.5,,27.0,10.0,57.0,4.1,2025-04-01
Marseille,31,20,11,4.6,0.2,31.4,6.1,74.0,0.5,2025-04-01
Toulouse,43,43,13,11.4,,12.6,11.0,53.0,3.0,2025-04-01
Lyon,31,42,,1.9,,30.9,6.0,70.0,4.1,2025-04-01
Bordeaux,28,,24,1.4,,28.1,13.0,50.0,4.6,2025-04-01
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-01
Nice,23,13,6,6.9,1.1,23.0,12.0,50.0,5.1,2025-04-01
Strasbourg,20,63,9,9.5,,20.3,5.5,67.5,2.5,2025-04-01
Paris,58,58,30,18.6,0.6,19.5,10.0,75.0,10.0,2025-04-01
Rennes,44,44,14,2.5,,26.3,8.0,65.0,3.6,2025-04-01
Nantes,36,36,11,2.4,,26.6,9.0,66.0,4.1,2025-04-01
Marseille,32,14,6,3.5,0.2,31.6,5.5,75.0,0.2,2025-04-01
Toulouse,43,43,13,9.0,,16.6,10.5,55.0,2.5,2025-04-01
Lyon,31,42,,1.9,,30.9,4.5,72.5,3.6,2025-04-01
Bordeaux,28,,24,1.4,,27.7,11.0,55.0,4.8,2025-04-01
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-01
Nice,22,13,7,7.8,1.1,21.7,11.0,53.0,4.6,2025-04-01
Strasbourg,20,63,15,10.2,,20.3,5.0,72.5,2.5,2025-04-01
Paris,62,62,26,13.8,0.6,20.1,9.4,72.0,10.0,2025-04-01
Rennes,50,50,16,2.5,,26.3,8.0,65.0,3.0,2025-04-01
Nantes,40,40,12,2.4,,26.0,9.0,66.0,4.6,2025-04-01
Marseille,27,14,6,5.1,0.2,27.1,4.4,79.0,0.2,2025-04-01
Toulouse,32,32,10,9.0,,16.6,9.0,57.0,2.5,2025-04-01
Lyon,31,42,,1.9,,30.9,4.5,72.5,3.6,2025-04-01
Bordeaux,28,,24,1.4,,27.7,11.0,55.0,4.8,2025-04-01
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-04-01
Nice,17,13,7,11.1,1.1,17.2,11.0,53,5.6,2025-04-01
Strasbourg,14,63,14,8.7,,20.3,5.0,75,2.0,2025-04-01
Paris,59,59,23,13.4,0.6,19.5,8.3,75,12.0,2025-04-01
Rennes,52,52,16,3.2,,24.5,6.0,75,3.6,2025-04-01
Nantes,43,43,13,2.3,,25.5,8.0,65,4.1,2025-04-01
Marseille,20,15,6,11.0,0.3,19.5,4.4,81,0.2,2025-04-01
Toulouse,20,20,8,7.5,,15.4,7.5,57,1.0,2025-04-01
Lyon,27,42,,1.9,,26.9,5.0,70,3.0,2025-04-01
Bordeaux,27,,24,1.4,,26.9,10.5,55,5.4,2025-04-01
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-01
Nice,15,15,9,16.2,1.1,12.5,11.0,53.0,5.1,2025-04-01
Strasbourg,16,63,15,8.7,,16.3,5.0,75.0,2.5,2025-04-01
Paris,55,55,21,22.7,0.6,20.0,7.7,75.0,10.0,2025-04-01
Rennes,53,53,17,3.4,,24.5,5.0,75.0,3.0,2025-04-01
Nantes,46,46,13,3.4,,24.1,7.0,70.0,3.0,2025-04-01
Marseille,18,18,7,15.4,0.3,18.4,3.8,81.0,1.0,2025-04-01
Toulouse,20,20,8,11.4,,4.1,8.0,57.0,1.5,2025-04-01
Lyon,27,42,,1.9,,26.9,4.5,72.5,3.3,2025-04-01
Bordeaux,26,,24,1.4,,26.0,10.0,57.0,5.1,2025-04-01
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-01
Nice,20,20,15,27.1,1.1,3.7,11.0,53.0,4.6,2025-04-01
Strasbourg,18,63,18,13.6,,16.1,6.0,70.0,3.3,2025-04-01
Paris,54,54,23,30.4,0.6,20.0,7.7,64.0,2.0,2025-04-01
Rennes,51,51,18,5.7,,21.7,5.0,80.0,2.5,2025-04-01
Nantes,46,46,13,3.4,,24.1,7.0,70.0,3.0,2025-04-01
Marseille,21,16,8,16.8,0.3,21.2,5.0,79.0,0.2,2025-04-01
Toulouse,20,20,8,14.7,,2.9,7.5,59.0,2.5,2025-04-01
Lyon,27,42,,1.9,,26.9,3.5,77.5,2.3,2025-04-01
Bordeaux,26,,24,1.4,,26.0,10.0,57.0,5.1,2025-04-01
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-01
Nice,30,30,25,29.5,1.1,2.6,11.5,51.5,4.1,2025-04-01
Strasbourg,17,63,17,18.1,,13.8,6.5,67.5,4.8,2025-04-01
Paris,41,41,22,30.4,0.6,16.9,8.3,73.0,14.0,2025-04-01
Rennes,56,56,18,7.4,,20.0,8.0,70.0,3.6,2025-04-01
Nantes,44,44,18,6.6,,21.5,9.0,61.0,6.6,2025-04-01
Marseille,21,17,11,19.4,0.5,20.5,8.8,74.0,3.0,2025-04-01
Toulouse,20,20,8,14.7,,2.9,9.0,57.0,3.0,2025-04-01
Lyon,27,42,,1.9,,26.9,4.5,75.0,2.0,2025-04-01
Bordeaux,24,,24,1.4,,24.4,9.5,57.0,5.4,2025-04-01
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-01
Nice,34,34,27,27.3,1.1,7.3,15.0,51.0,2.0,2025-04-01
Strasbourg,16,63,16,17.6,,14.2,8.5,63.0,5.4,2025-04-01
Paris,56,56,26,31.5,0.6,7.2,9.4,57.0,2.0,2025-04-01
Rennes,52,52,24,5.9,,21.9,11.0,57.0,5.1,2025-04-01
Nantes,40,40,18,4.5,,24.2,11.0,53.0,6.6,2025-04-01
Marseille,29,15,11,10.1,0.4,29.4,13.3,56.0,1.0,2025-04-01
Toulouse,29,29,10,14.3,,8.6,11.0,50.0,2.0,2025-04-01
Lyon,27,42,,1.9,,26.9,6.5,65.0,3.8,2025-04-01
Bordeaux,24,,24,1.4,,24.0,10.5,51.5,5.9,2025-04-01
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-01
Nice,27,21,15,11.5,1.1,27.3,15.0,58.0,2.5,2025-04-01
Strasbourg,24,63,24,13.9,,19.0,9.5,57.0,6.4,2025-04-01
Paris,36,62,36,31.5,0.6,7.1,10.7,53.6,3.0,2025-04-01
Rennes,49,49,32,4.6,,25.5,12.0,54.0,6.6,2025-04-01
Nantes,32,32,15,3.5,,27.9,13.0,43.0,9.2,2025-04-01
Marseille,32,15,12,6.7,0.3,32.3,16.1,46.0,1.0,2025-04-01
Toulouse,21,21,12,12.0,,15.7,14.0,47.0,2.0,2025-04-01
Lyon,27,42,,1.9,,26.9,9.0,57.0,3.6,2025-04-01
Bordeaux,28,,24,1.4,,28.1,13.0,43.0,4.6,2025-04-01
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-01
Nice,30,17,10,7.7,1.1,30.4,15.0,62.0,2.5,2025-04-01
Strasbourg,23,63,16,10.5,,23.1,10.0,53.0,8.7,2025-04-01
Paris,36,62,36,31.5,0.6,7.1,10.7,53.6,3.0,2025-04-01
Rennes,50,50,39,3.3,,28.3,13.0,47.0,8.2,2025-04-01
Nantes,32,30,21,2.6,,31.7,13.0,43.0,10.2,2025-04-01
Marseille,37,12,12,3.3,0.3,36.9,18.3,38.0,1.0,2025-04-01
Toulouse,22,21,12,7.2,,22.3,14.5,45.5,2.3,2025-04-01
Lyon,27,42,,1.9,,26.9,11.0,53.0,3.0,2025-04-01
Bordeaux,30,,24,1.4,,30.1,15.0,41.0,5.6,2025-04-01
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-04-01
Nice,35,17,11,4.5,1.1,34.9,16.0,41,1.5,2025-04-01
Strasbourg,23,63,16,8.2,,23.1,12.0,46,8.7,2025-04-01
Paris,57,57,38,18.6,0.6,19.1,13.3,65,15.0,2025-04-01
Rennes,49,49,39,2.5,,30.8,14.0,44,8.2,2025-04-01
Nantes,33,28,17,2.2,,32.7,15.0,38,9.7,2025-04-01
Marseille,39,14,11,2.7,0.3,39.3,17.7,41,2.0,2025-04-01
Toulouse,21,21,15,7.2,,28.0,18.0,31,4.6,2025-04-01
Lyon,27,42,,1.9,,26.7,13.0,47,4.1,2025-04-01
Bordeaux,33,,24,1.4,,33.3,17.0,33,5.6,2025-04-01
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-01
Nice,37,16,12,2.7,1.1,36.7,16.0,44.0,8.7,2025-04-01
Strasbourg,25,63,25,7.5,,25.3,11.0,50.0,9.2,2025-04-01
Paris,61,61,30,18.6,0.6,25.1,14.0,40.5,4.5,2025-04-01
Rennes,44,44,39,2.5,,31.1,15.0,44.0,7.7,2025-04-01
Nantes,36,22,15,1.6,,35.8,16.0,36.0,9.7,2025-04-01
Marseille,41,17,18,2.4,0.3,41.3,16.6,49.0,3.0,2025-04-01
Toulouse,38,21,15,1.9,,37.7,20.0,29.0,4.1,2025-04-01
Lyon,30,42,,1.9,,29.8,14.0,44.0,5.1,2025-04-01
Bordeaux,33,,24,1.4,,33.3,17.0,33.0,5.6,2025-04-01
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-01
Nice,39,10,9,2.4,1.1,38.7,17.0,45.0,6.6,2025-04-01
Strasbourg,28,63,17,7.0,,27.5,11.0,50.0,9.0,2025-04-01
Paris,62,62,38,18.6,0.6,29.4,14.6,38.3,4.5,2025-04-01
Rennes,42,42,39,2.5,,33.5,16.0,38.0,8.2,2025-04-01
Nantes,37,19,16,1.3,,37.2,17.0,36.0,8.2,2025-04-01
Marseille,41,17,18,2.7,0.3,41.3,15.0,54.0,4.0,2025-04-01
Toulouse,39,14,13,1.8,,38.8,21.0,28.0,3.0,2025-04-01
Lyon,30,42,,1.9,,29.8,14.0,44.0,5.1,2025-04-01
Bordeaux,38,,24,1.4,,37.8,20.0,26.0,6.1,2025-04-01
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-01
Nice,40,9,9,2.3,,40.0,16.0,41.0,4.6,2025-04-01
Strasbourg,28,63,19,7.2,,28.1,12.0,46.0,9.5,2025-04-01
Paris,55,55,38,14.6,0.6,33.2,36.3,38.5,20.0,2025-04-01
