Ville,Information_Qualite_Air,Indice_IQA_PM_25,Indice_IQA_PM_10,Indice_IQA_No2,Indice_IQA_So2,Indice_IQA_Ozone,Temperature (°C),Humidite_AQ,Vent,date
Rennes,37,37,39,2.2,,35.0,17.0,33.0,7.2,2025-04-01
Nantes,38,21,15,1.7,,37.8,17.0,36.0,9.7,2025-04-01
Marseille,39,13,11,3.9,0.3,39.0,13.3,63.0,6.0,2025-04-01
Toulouse,40,14,13,2.1,,39.6,21.0,27.0,3.8,2025-04-01
Lyon,33,42,,1.9,,33.1,15.5,39.5,5.4,2025-04-01
Bordeaux,39,,24,1.4,,39.0,22.0,22.5,5.4,2025-04-01
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-01
Nice,40,8,6,2.8,1.1,40.3,16.0,41.0,3.0,2025-04-01
Strasbourg,29,63,18,7.7,,28.8,12.5,43.0,9.5,2025-04-01
Paris,55,55,25,15.8,0.6,33.2,32.2,37.0,22.0,2025-04-01
Rennes,47,47,39,1.6,,35.8,17.0,36.0,8.2,2025-04-01
Nantes,39,19,16,1.6,,39.1,17.0,33.0,10.2,2025-04-01
Marseille,39,11,11,4.1,0.2,39.0,12.2,67.5,1.5,2025-04-01
Toulouse,40,11,7,2.3,,39.6,20.5,30.0,4.6,2025-04-01
Lyon,33,42,,1.9,,33.1,15.5,39.5,5.4,2025-04-01
Bordeaux,39,,24,1.4,,39.0,22.0,22.5,5.4,2025-04-01
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-01
Nice,39,7,6,3.0,1.1,38.7,16.0,41.0,0.5,2025-04-01
Strasbourg,31,63,15,7.0,,31.2,13.0,43.0,7.9,2025-04-01
Paris,54,54,26,15.6,0.6,33.6,29.4,36.0,22.0,2025-04-01
Rennes,51,51,39,1.9,,37.5,17.0,36.0,8.7,2025-04-01
Nantes,40,18,12,1.6,,40.2,17.0,33.0,10.8,2025-04-01
Marseille,38,10,8,4.5,0.2,37.9,12.2,59.0,3.0,2025-04-01
Toulouse,14,14,9,2.3,,39.6,20.0,37.0,5.1,2025-04-01
Lyon,33,42,,1.9,,33.1,13.5,43.5,6.1,2025-04-01
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-01
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-01
Nice,39,10,11,2.3,1.1,39.2,16.0,41.0,0.2,2025-04-01
Strasbourg,32,63,18,6.9,,32.0,13.0,43.0,7.2,2025-04-01
Paris,61,61,25,15.2,0.6,35.3,26.6,37.0,25.3,2025-04-01
Rennes,48,48,39,1.9,,37.5,17.0,36.0,7.2,2025-04-01
Nantes,41,23,12,1.9,,40.6,16.0,37.0,9.5,2025-04-01
Marseille,37,10,7,5.4,0.2,36.6,11.6,47.0,3.0,2025-04-01
Toulouse,40,14,9,2.6,,40.0,18.0,39.0,8.2,2025-04-01
Lyon,33,42,,1.9,,33.1,13.5,43.5,6.1,2025-04-01
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-01
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-04-01
Nice,38,12,8,3.2,1.1,38.2,15.0,47,0.2,2025-04-01
Strasbourg,33,63,18,7.8,,33.4,13.0,43,4.8,2025-04-01
Paris,67,67,26,14.5,0.6,36.6,21.4,40,24.6,2025-04-01
Rennes,50,50,39,2.7,,37.6,15.0,41,7.7,2025-04-01
Nantes,40,26,13,2.4,,40.3,15.0,38,8.7,2025-04-01
Marseille,35,13,7,6.2,0.2,34.5,11.6,48,1.0,2025-04-01
Toulouse,21,21,15,3.3,,40.3,15.0,54,9.2,2025-04-01
Lyon,33,42,,1.9,,33.1,13.0,47,4.6,2025-04-01
Bordeaux,42,,24,1.4,,41.9,23.0,20,7.2,2025-04-01
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-01
Nice,32,17,9,6.9,1.1,31.8,14.0,56.0,5.6,2025-04-01
Strasbourg,32,63,16,7.0,,32.2,11.0,50.0,6.1,2025-04-01
Paris,37,100,24,12.7,0.6,36.6,11.6,43.6,2.6,2025-04-01
Rennes,37,37,22,2.8,,35.3,13.0,43.0,6.6,2025-04-01
Nantes,37,34,14,2.6,,37.1,13.5,44.0,8.2,2025-04-01
Marseille,32,17,7,6.2,0.2,31.6,10.0,55.0,1.0,2025-04-01
Toulouse,18,18,9,2.9,,42.2,13.0,71.0,8.7,2025-04-01
Lyon,25,25,,5.4,,33.1,10.0,53.0,1.5,2025-04-01
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-01
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-01
Nice,25,20,9,12.0,,24.5,12.0,58.0,4.1,2025-04-01
Strasbourg,32,63,16,7.6,,32.2,10.0,49.0,5.1,2025-04-01
Paris,35,35,16,16.2,0.6,28.2,15.5,47.8,20.0,2025-04-01
Rennes,36,36,17,2.8,,33.8,12.0,43.0,7.2,2025-04-01
Nantes,36,31,14,2.3,,35.8,12.0,40.0,9.7,2025-04-01
Marseille,32,16,7,4.8,0.2,32.1,9.4,60.0,1.0,2025-04-01
Toulouse,39,18,9,1.8,,38.6,12.0,76.0,9.5,2025-04-01
Lyon,25,25,,10.4,,33.1,11.0,57.0,3.6,2025-04-01
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-01
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-02
Nice,25,18,8,8.9,1.1,24.7,11.0,62.0,4.6,2025-04-02
Strasbourg,32,63,14,8.6,,31.5,9.5,51.0,5.1,2025-04-02
Paris,32,32,14,14.4,0.6,26.1,13.3,50.6,17.3,2025-04-02
Rennes,34,30,19,2.5,,33.6,11.0,43.0,5.6,2025-04-02
Nantes,36,17,12,1.8,,35.8,10.0,46.0,7.2,2025-04-02
Marseille,29,18,7,6.1,0.2,28.8,8.8,63.0,0.5,2025-04-02
Toulouse,39,20,8,1.6,,39.2,12.0,73.5,7.2,2025-04-02
Lyon,25,25,,10.8,,33.1,11.0,57.0,3.8,2025-04-02
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-02
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-04-02
Nice,24,16,7,8.1,1.1,24.0,11.0,62,5.1,2025-04-02
Strasbourg,31,63,12,8.8,,31.4,8.5,57,6.1,2025-04-02
Paris,32,32,14,16.2,0.6,26.1,11.6,53,18.0,2025-04-02
Rennes,32,18,11,2.2,,31.8,10.0,49,6.1,2025-04-02
Nantes,33,16,8,1.6,,33.3,10.0,49,6.1,2025-04-02
Marseille,28,19,7,4.8,0.2,28.3,7.7,65,0.5,2025-04-02
Toulouse,41,20,9,1.3,,40.6,12.0,71,6.9,2025-04-02
Lyon,25,25,,10.8,,33.1,8.0,75,3.0,2025-04-02
Bordeaux,42,,24,1.4,,41.9,23.0,20,7.2,2025-04-02
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-02
Nice,28,12,6,5.9,1.1,27.8,12.0,54.0,5.1,2025-04-02
Strasbourg,31,63,16,5.8,,31.4,8.5,59.0,6.6,2025-04-02
Paris,58,58,10,7.5,0.6,26.5,10.9,56.0,16.5,2025-04-02
Rennes,31,20,10,1.9,,30.6,9.0,53.0,5.6,2025-04-02
Nantes,32,19,8,1.7,,32.2,9.0,53.0,5.6,2025-04-02
Marseille,25,25,10,5.3,0.2,24.6,6.6,71.0,0.5,2025-04-02
Toulouse,41,18,7,1.0,,40.5,12.0,68.5,9.2,2025-04-02
Lyon,15,15,,10.8,,33.1,8.0,75.0,3.0,2025-04-02
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-02
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-02
Nice,27,11,5,5.3,1.1,27.3,12.0,54.0,5.1,2025-04-02
Strasbourg,28,63,15,4.4,,27.9,8.0,61.0,5.4,2025-04-02
Paris,43,43,12,12.3,0.6,26.5,9.4,57.0,17.0,2025-04-02
Rennes,30,21,9,2.0,,29.6,9.0,53.0,5.1,2025-04-02
Nantes,31,21,8,1.6,,30.8,9.0,53.0,6.1,2025-04-02
Marseille,27,22,9,4.1,0.1,26.5,6.6,72.0,1.0,2025-04-02
Toulouse,41,18,7,1.0,,40.5,12.0,68.5,9.2,2025-04-02
Lyon,29,9,,10.8,,28.8,7.0,81.0,3.6,2025-04-02
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-02
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-04-02
Nice,30,11,7,3.9,1.1,29.6,11.0,62,6.1,2025-04-02
Strasbourg,26,63,12,4.4,,25.7,7.0,65,6.1,2025-04-02
Paris,58,58,10,7.5,0.6,26.5,10.0,59,21.0,2025-04-02
Rennes,28,22,9,2.0,,28.1,8.0,57,6.1,2025-04-02
Nantes,29,23,9,2.1,,28.6,8.0,61,5.6,2025-04-02
Marseille,28,19,8,2.9,0.1,27.7,6.1,76,0.2,2025-04-02
Toulouse,16,16,9,1.0,,40.0,13.0,43,8.7,2025-04-02
Lyon,29,9,,4.3,,28.8,7.0,78,3.3,2025-04-02
Bordeaux,42,,24,1.4,,41.9,23.0,20,7.2,2025-04-02
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-02
Nice,33,9,5,2.7,1.1,32.8,11.0,66.5,6.1,2025-04-02
Strasbourg,26,63,15,4.3,,25.7,6.0,70.0,4.6,2025-04-02
Paris,26,58,9,6.2,0.6,26.4,9.4,60.0,17.0,2025-04-02
Rennes,27,25,9,2.4,,26.8,8.0,57.0,6.6,2025-04-02
Nantes,27,24,9,2.1,,27.3,8.0,61.0,5.1,2025-04-02
Marseille,31,19,8,2.8,0.2,30.6,5.5,81.0,1.0,2025-04-02
Toulouse,16,16,9,1.0,,40.0,13.0,43.0,8.7,2025-04-02
Lyon,23,17,,4.2,,22.8,4.0,86.0,0.5,2025-04-02
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-02
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-04-02
Nice,33,7,3,2.9,1.1,32.5,11.0,71,4.6,2025-04-02
Strasbourg,12,63,12,4.5,,25.7,6.0,70,5.1,2025-04-02
Paris,26,23,14,6.9,0.6,26.0,8.8,61,17.0,2025-04-02
Rennes,26,25,9,2.3,,26.2,8.0,57,7.2,2025-04-02
Nantes,26,25,8,2.5,,26.0,7.5,63,5.4,2025-04-02
Marseille,29,18,8,3.6,0.1,28.5,6.6,81,1.0,2025-04-02
Toulouse,9,9,8,1.3,,39.2,12.0,50,11.0,2025-04-02
Lyon,23,17,,7.7,,22.8,4.0,93,1.0,2025-04-02
Bordeaux,42,,24,1.4,,41.9,23.0,20,7.2,2025-04-02
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-02
Nice,28,8,3,6.7,1.1,27.5,11.0,66.0,7.2,2025-04-02
Strasbourg,24,63,12,6.4,,23.8,6.0,70.0,5.6,2025-04-02
Paris,25,23,12,9.8,0.6,25.2,8.3,62.6,17.0,2025-04-02
Rennes,25,25,9,2.9,,24.8,7.0,61.0,6.6,2025-04-02
Nantes,25,25,8,2.8,,25.3,7.0,65.0,5.9,2025-04-02
Marseille,25,17,7,8.1,0.1,24.9,6.6,79.0,3.0,2025-04-02
Toulouse,38,9,8,1.9,,38.4,12.0,54.0,11.3,2025-04-02
Lyon,19,19,,7.7,,19.1,4.0,93.0,0.5,2025-04-02
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-02
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-02
Nice,20,10,7,12.6,1.1,20.2,11.0,66.0,6.1,2025-04-02
Strasbourg,23,63,12,9.4,,23.3,6.5,70.0,6.9,2025-04-02
Paris,28,28,9,16.2,0.6,22.5,8.3,65.0,16.0,2025-04-02
Rennes,25,25,9,3.5,,24.0,7.0,65.0,5.6,2025-04-02
Nantes,25,25,8,2.8,,25.3,7.0,65.0,5.9,2025-04-02
Marseille,24,19,9,10.0,0.1,23.6,7.7,72.0,4.0,2025-04-02
Toulouse,36,10,9,3.4,,36.1,11.5,64.5,11.0,2025-04-02
Lyon,19,19,,22.1,,15.1,6.0,87.0,1.0,2025-04-02
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-02
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-02
Nice,15,15,13,21.1,1.1,13.6,12.0,62.0,5.1,2025-04-02
Strasbourg,23,63,14,13.3,,22.5,7.5,70.0,6.6,2025-04-02
Paris,33,33,12,24.0,0.6,19.3,8.8,62.0,21.0,2025-04-02
Rennes,35,35,15,4.8,,21.8,8.0,65.0,5.1,2025-04-02
Nantes,29,29,11,5.9,,21.6,8.0,65.0,7.7,2025-04-02
Marseille,24,20,12,12.2,0.2,23.8,9.4,68.0,2.0,2025-04-02
Toulouse,34,10,5,4.4,,34.4,11.5,66.5,11.0,2025-04-02
Lyon,37,37,,18.1,,15.1,7.5,78.0,2.0,2025-04-02
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-02
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-04-02
Nice,30,10,7,5.7,1.1,29.6,13.0,58,3.0,2025-04-02
Strasbourg,21,63,14,14.2,,20.8,11.0,62,6.6,2025-04-02
Paris,31,31,17,29.8,0.6,16.5,9.7,60,18.5,2025-04-02
Rennes,41,41,15,5.6,,21.8,10.0,57,7.2,2025-04-02
Nantes,32,32,12,4.2,,23.1,9.0,61,8.2,2025-04-02
Marseille,31,19,12,4.8,0.2,31.4,13.3,58,6.0,2025-04-02
Toulouse,36,11,7,3.2,,35.5,12.5,62,12.6,2025-04-02
Lyon,37,37,,18.1,,15.1,8.0,75,0.5,2025-04-02
Bordeaux,42,,24,1.4,,41.9,23.0,20,7.2,2025-04-02
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-02
Nice,31,14,10,5.4,1.1,30.9,15.0,54.0,5.1,2025-04-02
Strasbourg,24,63,24,10.8,,23.0,12.0,58.0,6.6,2025-04-02
Paris,38,38,22,24.9,0.6,17.9,10.9,57.0,17.0,2025-04-02
Rennes,42,42,25,3.1,,24.5,12.0,54.0,7.7,2025-04-02
Nantes,35,35,15,4.2,,25.2,11.5,55.5,9.0,2025-04-02
Marseille,34,24,19,3.2,0.2,33.5,14.4,55.0,5.0,2025-04-02
Toulouse,36,11,7,2.5,,35.9,15.0,56.0,11.0,2025-04-02
Lyon,37,37,,12.7,,15.1,11.0,62.0,1.0,2025-04-02
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-02
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-02
Nice,35,13,7,3.3,1.1,34.5,17.0,59.0,3.6,2025-04-02
Strasbourg,28,63,21,8.7,,28.2,15.5,49.5,6.1,2025-04-02
Paris,49,49,27,17.2,0.6,22.8,13.7,57.0,17.0,2025-04-02
Rennes,58,58,22,2.9,,26.5,14.0,50.0,6.6,2025-04-02
Nantes,33,33,13,2.2,,30.2,14.0,50.0,9.2,2025-04-02
Marseille,37,26,18,2.6,0.2,36.7,16.1,53.0,7.0,2025-04-02
Toulouse,36,14,9,2.0,,36.4,16.0,51.0,11.8,2025-04-02
Lyon,46,46,,9.9,,15.1,12.0,54.0,0.5,2025-04-02
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-02
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-02
Nice,34,14,9,3.6,1.1,34.3,17.0,59.0,3.6,2025-04-02
Strasbourg,32,63,30,5.6,,32.3,19.0,35.5,5.1,2025-04-02
Paris,52,52,26,17.2,0.6,25.5,22.5,48.5,15.0,2025-04-02
Rennes,53,53,22,2.9,,29.0,15.0,47.0,7.7,2025-04-02
Nantes,33,30,12,1.9,,33.4,16.0,44.0,9.2,2025-04-02
Marseille,37,23,13,2.6,0.2,36.9,17.2,50.0,5.0,2025-04-02
Toulouse,37,18,10,1.9,,36.5,17.0,51.0,11.0,2025-04-02
Lyon,46,46,,9.9,,15.1,12.0,54.0,0.5,2025-04-02
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-02
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-02
Nice,36,15,12,3.7,1.1,35.9,17.0,59.0,6.6,2025-04-02
Strasbourg,32,63,30,5.6,,32.3,19.0,35.5,5.1,2025-04-02
Paris,52,52,26,17.2,0.6,25.5,22.5,48.5,15.0,2025-04-02
Rennes,56,56,22,2.5,,32.5,16.0,44.0,7.2,2025-04-02
Nantes,36,24,12,2.0,,35.6,17.0,42.0,8.7,2025-04-02
Marseille,39,27,21,2.4,0.3,38.5,17.2,48.0,2.0,2025-04-02
Toulouse,37,18,10,2.0,,36.6,18.0,48.0,12.8,2025-04-02
Lyon,46,46,,11.6,,15.1,14.5,48.5,1.2,2025-04-02
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-02
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-02
Nice,37,15,12,3.5,1.1,36.6,17.0,63.0,6.6,2025-04-02
Strasbourg,39,63,19,7.0,,39.3,20.0,32.0,7.2,2025-04-02
Paris,28,45,16,16.8,0.6,28.4,37.7,41.0,16.0,2025-04-02
Rennes,51,51,22,1.9,,35.1,17.0,42.0,8.2,2025-04-02
Nantes,38,21,14,1.7,,38.1,16.0,41.0,9.2,2025-04-02
Marseille,38,26,19,3.2,0.3,38.1,16.6,50.0,2.0,2025-04-02
Toulouse,38,23,13,2.2,,37.6,17.0,51.0,12.8,2025-04-02
Lyon,46,46,,11.6,,15.1,14.5,48.5,1.2,2025-04-02
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-02
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-02
Nice,38,17,14,2.8,1.1,37.9,17.0,63.0,6.6,2025-04-02
Strasbourg,39,63,18,7.0,,39.3,20.0,33.0,6.9,2025-04-02
Paris,45,45,28,18.2,0.6,30.5,39.4,41.0,16.0,2025-04-02
Rennes,49,49,22,1.8,,37.4,17.0,36.0,8.7,2025-04-02
Nantes,38,17,14,3.0,,38.1,15.5,44.0,9.0,2025-04-02
Marseille,38,25,16,3.2,0.3,38.4,16.1,52.0,5.0,2025-04-02
Toulouse,39,23,13,2.2,,38.8,17.0,51.0,13.3,2025-04-02
Lyon,46,46,,11.6,,15.1,14.5,48.5,1.2,2025-04-02
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-02
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-02
Nice,38,21,13,3.4,1.1,37.5,17.0,59.0,5.6,2025-04-02
Strasbourg,41,63,19,6.6,,40.8,20.0,34.0,6.9,2025-04-02
Paris,57,57,28,18.2,0.6,33.2,37.7,39.0,13.0,2025-04-02
Rennes,54,54,22,2.1,,37.9,17.0,39.0,8.2,2025-04-02
Nantes,36,13,10,2.9,,35.9,14.5,52.5,5.9,2025-04-02
Marseille,40,25,17,3.0,0.3,39.6,15.5,55.0,5.0,2025-04-02
Toulouse,39,23,13,1.9,,39.3,16.5,51.5,12.8,2025-04-02
Lyon,37,37,,11.6,,15.1,15.0,42.5,1.0,2025-04-02
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-02
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-04-02
Nice,38,21,16,3.6,1.1,37.8,17.0,61,4.6,2025-04-02
Strasbourg,42,63,18,8.0,,42.0,19.0,37,5.1,2025-04-02
Paris,55,55,26,20.6,0.6,34.2,33.8,40,13.0,2025-04-02
Rennes,53,53,22,2.2,,37.9,16.0,44,7.2,2025-04-02
Nantes,36,14,8,3.0,,35.9,15.0,51,7.2,2025-04-02
Marseille,38,23,11,3.8,0.3,38.3,14.4,59,3.0,2025-04-02
Toulouse,39,16,11,1.9,,38.7,15.0,58,12.8,2025-04-02
Lyon,38,38,,11.6,,15.1,16.0,44,0.5,2025-04-02
Bordeaux,42,,24,1.4,,41.9,23.0,20,7.2,2025-04-02
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-02
Nice,38,19,10,3.8,1.1,37.5,16.0,67.0,5.4,2025-04-02
Strasbourg,43,63,23,8.4,,42.7,17.5,40.5,5.6,2025-04-02
Paris,54,54,16,21.7,0.6,35.7,27.2,43.6,13.0,2025-04-02
Rennes,48,48,22,2.7,,36.4,15.0,47.0,5.6,2025-04-02
Nantes,36,11,7,2.4,,35.6,11.0,81.0,8.7,2025-04-02
Marseille,39,22,9,3.9,0.3,38.8,13.8,61.0,1.0,2025-04-02
Toulouse,38,16,11,2.1,,37.5,14.0,62.0,12.0,2025-04-02
Lyon,35,35,,14.2,,15.1,14.0,58.0,2.5,2025-04-02
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-02
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-02
Nice,34,20,8,5.5,1.1,33.9,15.0,67.0,3.0,2025-04-02
Strasbourg,43,63,17,11.6,,42.7,16.0,42.5,4.3,2025-04-02
Paris,57,57,17,25.2,0.6,36.3,23.3,46.0,9.0,2025-04-02
Rennes,42,42,22,3.0,,34.9,15.0,44.0,6.6,2025-04-02
Nantes,33,12,4,2.5,,32.5,11.0,81.0,7.2,2025-04-02
Marseille,38,24,10,3.7,0.2,38.2,12.7,65.0,1.0,2025-04-02
Toulouse,38,18,9,2.0,,37.7,13.5,62.0,11.5,2025-04-02
Lyon,32,32,,12.7,,15.1,14.0,54.0,2.5,2025-04-02
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-02
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-02
Nice,29,29,10,15.4,1.1,20.2,15.0,58.0,1.5,2025-04-02
Strasbourg,39,63,25,11.5,,39.4,14.0,47.0,3.0,2025-04-02
Paris,59,59,25,25.2,0.6,36.1,21.1,49.5,8.0,2025-04-02
Rennes,43,43,22,2.9,,33.6,13.0,62.0,4.1,2025-04-02
Nantes,32,12,4,1.9,,32.0,11.0,81.0,6.1,2025-04-02
Marseille,36,25,8,4.2,0.2,36.4,11.6,68.0,2.0,2025-04-02
Toulouse,38,18,10,2.0,,37.7,13.0,58.0,11.3,2025-04-02
Lyon,32,32,,8.4,,15.1,12.0,66.0,3.0,2025-04-02
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-02
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-02
Nice,43,43,13,14.5,1.1,17.2,14.0,62.0,3.0,2025-04-02
Strasbourg,37,63,18,11.5,,37.0,14.0,47.0,5.1,2025-04-02
Paris,57,57,24,34.1,0.6,32.3,19.4,50.3,10.0,2025-04-02
Rennes,34,34,22,3.3,,31.3,12.0,71.0,3.6,2025-04-02
Nantes,31,12,4,2.3,,30.5,11.0,76.0,7.2,2025-04-02
Marseille,36,27,10,4.3,0.2,35.5,11.1,70.0,1.2,2025-04-02
Toulouse,15,15,7,1.7,,39.6,13.0,58.0,11.8,2025-04-02
Lyon,29,29,,9.0,,15.1,11.0,71.0,3.6,2025-04-02
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-02
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-03
Nice,33,33,10,10.3,1.1,19.2,14.0,60.0,3.3,2025-04-03
Strasbourg,34,63,17,11.1,,34.4,12.0,54.0,3.0,2025-04-03
Paris,57,57,24,34.1,0.6,32.3,19.4,50.3,10.0,2025-04-03
Rennes,34,34,22,2.4,,31.3,12.0,71.0,4.6,2025-04-03
Nantes,31,11,4,2.4,,30.6,11.0,76.0,5.6,2025-04-03
Marseille,35,26,9,3.8,0.2,35.1,9.4,76.0,0.2,2025-04-03
Toulouse,41,15,7,1.6,,41.3,13.0,60.0,9.7,2025-04-03
Lyon,35,35,,9.0,,15.1,11.0,76.0,3.6,2025-04-03
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-03
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-03
Nice,27,27,9,8.7,1.1,18.5,14.0,58.0,3.0,2025-04-03
Strasbourg,34,63,15,9.1,,34.4,11.0,57.5,2.5,2025-04-03
Paris,61,61,31,27.7,0.6,28.5,16.6,59.0,9.0,2025-04-03
Rennes,30,18,12,2.1,,30.2,12.0,66.0,5.1,2025-04-03
