Ville,Information_Qualite_Air,Indice_IQA_PM_25,Indice_IQA_PM_10,Indice_IQA_No2,Indice_IQA_So2,Indice_IQA_Ozone,Temperature (°C),Humidite_AQ,Vent,date
Nantes,30,12,4,1.9,,29.5,11.0,81.0,3.0,2025-04-03
Marseille,36,24,9,3.1,0.1,35.8,9.4,77.0,0.7,2025-04-03
Toulouse,13,13,6,1.5,,40.9,13.0,58.0,10.8,2025-04-03
Lyon,36,36,,9.0,,15.1,11.0,76.0,3.0,2025-04-03
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-03
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-04-03
Nice,24,24,8,8.7,1.1,17.0,14.0,58,3.6,2025-04-03
Strasbourg,25,63,20,19.6,,24.8,8.5,68,1.8,2025-04-03
Paris,61,61,31,27.7,0.6,28.5,16.6,59,9.0,2025-04-03
Rennes,30,14,7,2.2,,29.5,12.0,66,3.6,2025-04-03
Nantes,28,12,4,2.1,,28.3,10.0,87,2.5,2025-04-03
Marseille,37,23,8,2.0,0.1,36.6,8.8,78,0.7,2025-04-03
Toulouse,40,13,6,1.2,,40.2,13.0,60,10.8,2025-04-03
Lyon,36,36,,7.6,,15.1,11.0,76,3.0,2025-04-03
Bordeaux,42,,24,1.4,,41.9,23.0,20,7.2,2025-04-03
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-04-03
Nice,23,23,7,8.5,1.1,15.9,13.0,58,4.1,2025-04-03
Strasbourg,25,63,18,18.8,,25.3,8.5,70,2.3,2025-04-03
Paris,52,52,19,27.7,0.6,22.0,14.8,69,8.0,2025-04-03
Rennes,29,15,6,2.4,,28.6,12.0,66,4.1,2025-04-03
Nantes,25,13,4,2.4,,25.3,10.0,87,2.3,2025-04-03
Marseille,35,26,10,2.4,0.2,34.6,9.4,80,0.2,2025-04-03
Toulouse,39,16,7,1.1,,39.1,13.0,66,9.2,2025-04-03
Lyon,36,36,,7.6,,15.1,11.0,76,4.1,2025-04-03
Bordeaux,42,,24,1.4,,41.9,23.0,20,7.2,2025-04-03
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-03
Nice,20,20,7,6.6,1.1,18.9,13.0,58.0,4.1,2025-04-03
Strasbourg,26,63,18,6.7,,26.0,7.5,75.0,2.5,2025-04-03
Paris,64,64,31,25.1,0.6,17.9,13.8,68.5,8.0,2025-04-03
Rennes,28,16,8,3.2,,27.7,12.0,66.0,4.1,2025-04-03
Nantes,24,15,5,2.0,,24.0,10.0,81.0,4.8,2025-04-03
Marseille,35,23,9,2.2,0.3,34.7,10.5,74.0,1.0,2025-04-03
Toulouse,39,16,7,1.1,,39.1,13.0,66.0,9.2,2025-04-03
Lyon,35,35,,7.6,,15.1,10.0,81.0,3.0,2025-04-03
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-03
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-03
Nice,19,18,7,6.3,1.1,19.1,12.0,62.0,4.6,2025-04-03
Strasbourg,24,63,17,6.2,,23.9,7.0,75.0,2.0,2025-04-03
Paris,55,55,21,25.6,0.6,19.4,13.3,70.3,9.0,2025-04-03
Rennes,29,15,5,2.2,,28.6,11.0,71.0,4.6,2025-04-03
Nantes,24,17,5,1.6,,24.1,10.0,76.0,5.1,2025-04-03
Marseille,33,21,8,2.7,0.3,33.2,11.1,72.0,1.0,2025-04-03
Toulouse,38,15,6,1.1,,38.2,13.0,66.0,8.2,2025-04-03
Lyon,35,35,,7.6,,15.1,11.0,71.0,4.1,2025-04-03
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-03
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-03
Nice,19,18,7,8.0,1.1,19.3,12.0,62.0,5.1,2025-04-03
Strasbourg,23,63,15,6.7,,23.1,6.0,81.0,2.0,2025-04-03
Paris,53,53,24,21.8,0.6,15.5,12.7,72.0,9.0,2025-04-03
Rennes,28,18,7,2.6,,28.3,10.0,76.0,4.1,2025-04-03
Nantes,24,17,6,2.1,,23.6,10.0,76.0,5.1,2025-04-03
Marseille,31,21,7,3.1,0.2,30.8,11.6,72.0,1.2,2025-04-03
Toulouse,37,15,5,1.4,,37.4,13.0,66.0,8.7,2025-04-03
Lyon,33,33,,7.6,,15.1,10.5,73.5,3.3,2025-04-03
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-03
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-04-03
Nice,18,18,8,13.2,1.1,15.4,12.0,62,5.1,2025-04-03
Strasbourg,23,63,20,10.3,,23.1,5.0,86,2.0,2025-04-03
Paris,60,60,21,23.4,0.6,18.1,12.5,69,9.0,2025-04-03
Rennes,28,18,7,4.1,,28.3,10.0,76,3.6,2025-04-03
Nantes,23,17,6,4.1,,22.8,10.0,76,5.1,2025-04-03
Marseille,28,23,9,5.5,0.2,28.1,10.5,76,0.2,2025-04-03
Toulouse,37,15,5,2.2,,37.0,13.0,66,9.2,2025-04-03
Lyon,34,34,,7.6,,15.1,10.0,76,3.0,2025-04-03
Bordeaux,42,,24,1.4,,41.9,23.0,20,7.2,2025-04-03
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-03
Nice,21,21,11,22.7,1.1,7.4,12.0,62.0,4.6,2025-04-03
Strasbourg,20,63,20,19.4,,19.5,5.5,83.5,2.3,2025-04-03
Paris,25,60,25,34.3,0.6,18.9,12.2,72.6,9.0,2025-04-03
Rennes,24,24,13,5.5,,23.1,9.0,81.0,3.6,2025-04-03
Nantes,23,17,6,4.1,,22.8,10.0,76.0,5.1,2025-04-03
Marseille,28,25,11,5.9,0.2,28.2,10.0,80.0,0.7,2025-04-03
Toulouse,35,15,5,3.7,,35.3,13.0,66.0,9.2,2025-04-03
Lyon,34,34,,7.6,,15.1,9.5,78.5,2.5,2025-04-03
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-03
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-03
Nice,26,26,19,27.3,1.1,3.9,15.0,51.0,4.6,2025-04-03
Strasbourg,31,63,31,23.5,,12.6,8.5,76.0,1.2,2025-04-03
Paris,25,60,25,34.3,0.6,18.9,12.2,72.6,9.0,2025-04-03
Rennes,40,40,13,7.3,,20.0,10.0,76.0,4.6,2025-04-03
Nantes,21,18,7,5.0,,20.9,9.0,93.0,4.6,2025-04-03
Marseille,28,28,14,9.1,0.4,24.7,11.1,81.0,0.7,2025-04-03
Toulouse,35,17,6,3.7,,34.8,13.0,66.0,9.7,2025-04-03
Lyon,34,34,,7.6,,15.1,13.0,66.5,3.0,2025-04-03
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-03
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-03
Nice,31,31,24,28.6,1.1,3.9,15.0,51.0,4.3,2025-04-03
Strasbourg,26,63,26,21.0,,12.9,11.0,66.5,1.5,2025-04-03
Paris,53,53,20,39.2,0.6,12.8,14.4,61.0,9.0,2025-04-03
Rennes,47,47,13,7.3,,19.3,10.0,81.0,4.6,2025-04-03
Nantes,19,19,6,5.0,,18.2,10.0,93.0,4.6,2025-04-03
Marseille,30,30,15,9.3,0.3,25.2,14.4,69.0,3.0,2025-04-03
Toulouse,35,17,6,3.0,,35.4,14.0,62.0,10.2,2025-04-03
Lyon,34,34,,7.6,,15.1,15.0,58.0,5.1,2025-04-03
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-03
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-04-03
Nice,30,30,22,21.9,1.1,14.2,18.0,45,2.0,2025-04-03
Strasbourg,31,63,31,14.2,,16.2,13.5,56,1.0,2025-04-03
Paris,23,59,23,37.8,0.6,7.5,15.5,61,9.0,2025-04-03
Rennes,59,59,13,6.8,,19.3,10.0,87,4.6,2025-04-03
Nantes,23,23,10,7.8,,16.6,10.0,93,4.6,2025-04-03
Marseille,31,30,15,5.4,0.3,31.1,18.3,53,2.0,2025-04-03
Toulouse,36,19,9,2.9,,35.7,14.5,60,9.7,2025-04-03
Lyon,49,49,,7.6,,15.1,16.0,59,5.6,2025-04-03
Bordeaux,42,,24,1.4,,41.9,23.0,20,7.2,2025-04-03
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-04-03
Nice,37,33,15,4.7,1.1,37.1,18.0,59,4.6,2025-04-03
Strasbourg,31,63,31,14.2,,22.6,15.0,51,1.2,2025-04-03
Paris,32,68,32,31.7,0.6,22.2,16.9,49,1.0,2025-04-03
Rennes,53,53,13,6.4,,18.8,11.0,87,5.1,2025-04-03
Nantes,27,27,12,8.4,,17.0,11.0,93,4.1,2025-04-03
Marseille,34,28,15,4.7,0.3,33.7,20.0,49,4.0,2025-04-03
Toulouse,36,19,9,2.5,,35.8,14.5,58,9.2,2025-04-03
Lyon,43,43,,7.6,,15.1,17.0,55,6.1,2025-04-03
Bordeaux,42,,24,1.4,,41.9,23.0,20,7.2,2025-04-03
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-03
Nice,50,50,19,2.4,1.1,41.8,18.0,63.0,5.6,2025-04-03
Strasbourg,30,63,30,12.5,,22.6,16.5,46.5,2.3,2025-04-03
Paris,68,68,33,27.9,0.6,22.2,18.3,44.5,1.0,2025-04-03
Rennes,29,29,13,4.5,,22.3,11.0,93.0,4.1,2025-04-03
Nantes,27,27,11,6.8,,18.8,12.0,87.0,5.1,2025-04-03
Marseille,37,31,16,3.2,0.3,37.4,20.0,47.0,4.0,2025-04-03
Toulouse,36,20,8,2.6,,36.2,14.0,67.0,8.7,2025-04-03
Lyon,43,43,,7.6,,15.1,17.5,53.5,6.6,2025-04-03
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-03
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-03
Nice,47,47,18,2.4,1.1,42.6,18.0,63.0,2.5,2025-04-03
Strasbourg,27,63,25,8.1,,27.3,18.0,43.5,2.8,2025-04-03
Paris,65,65,33,22.4,0.6,31.2,19.4,61.0,18.0,2025-04-03
Rennes,47,47,13,4.7,,23.4,12.0,87.0,5.6,2025-04-03
Nantes,27,27,8,5.1,,21.7,13.0,87.0,5.1,2025-04-03
Marseille,40,34,19,2.7,0.3,39.6,19.4,47.0,5.0,2025-04-03
Toulouse,35,21,10,2.7,,35.4,15.5,62.5,8.4,2025-04-03
Lyon,37,37,,7.6,,15.1,19.0,48.0,5.1,2025-04-03
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-03
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-04-03
Nice,46,46,21,3.0,1.1,42.8,18.0,63,2.0,2025-04-03
Strasbourg,32,63,17,8.1,,32.0,19.0,39,1.8,2025-04-03
Paris,59,59,24,22.1,0.6,32.9,37.2,45,18.0,2025-04-03
Rennes,37,37,13,3.6,,25.6,12.0,87,5.6,2025-04-03
Nantes,25,25,10,5.1,,24.3,14.0,76,5.1,2025-04-03
Marseille,40,33,17,3.1,0.3,40.3,19.4,47,5.0,2025-04-03
Toulouse,36,20,9,2.3,,36.3,16.5,61,10.0,2025-04-03
Lyon,36,36,,7.6,,15.1,19.0,48,7.2,2025-04-03
Bordeaux,42,,24,1.4,,41.9,23.0,20,7.2,2025-04-03
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-03
Nice,44,37,17,3.1,1.1,43.8,18.0,52.0,1.0,2025-04-03
Strasbourg,35,63,20,7.9,,34.6,20.0,40.0,2.0,2025-04-03
Paris,37,67,20,21.3,0.6,36.5,21.8,37.6,1.0,2025-04-03
Rennes,28,28,10,3.6,,25.1,13.0,87.0,5.1,2025-04-03
Nantes,27,21,7,3.8,,26.7,14.0,76.0,4.6,2025-04-03
Marseille,41,33,17,3.8,0.3,40.5,21.1,43.0,4.0,2025-04-03
Toulouse,36,20,9,2.3,,36.3,16.5,61.0,10.0,2025-04-03
Lyon,36,36,,7.6,,15.1,19.0,52.0,5.6,2025-04-03
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-03
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-04-03
Nice,45,37,15,2.8,1.1,45.1,18.0,59,1.0,2025-04-03
Strasbourg,35,63,20,7.9,,34.6,20.0,40,2.0,2025-04-03
Paris,67,67,22,21.9,0.6,36.5,40.5,37,16.0,2025-04-03
Rennes,26,26,8,4.7,,23.2,14.0,82,4.6,2025-04-03
Nantes,27,21,8,4.1,,26.5,14.0,76,5.1,2025-04-03
Marseille,41,32,15,4.0,0.4,41.3,20.5,42,6.0,2025-04-03
Toulouse,23,23,10,2.2,,36.7,17.0,59,10.2,2025-04-03
Lyon,36,36,,7.6,,15.1,19.0,52,4.6,2025-04-03
Bordeaux,42,,24,1.4,,41.9,23.0,20,7.2,2025-04-03
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-04-03
Nice,43,39,17,5.4,1.1,42.9,18.0,59,1.0,2025-04-03
Strasbourg,37,63,17,10.9,,37.2,21.0,37,4.1,2025-04-03
Paris,61,61,20,25.0,0.6,37.8,38.8,37,14.0,2025-04-03
Rennes,28,28,9,4.6,,22.5,15.0,72,5.1,2025-04-03
Nantes,25,22,7,5.9,,24.5,14.0,76,5.1,2025-04-03
Marseille,41,30,16,4.1,0.3,41.4,20.0,42,1.0,2025-04-03
Toulouse,27,27,11,2.4,,36.6,17.0,59,9.7,2025-04-03
Lyon,36,36,,7.6,,15.1,19.0,50,4.3,2025-04-03
Bordeaux,42,,24,1.4,,41.9,23.0,20,7.2,2025-04-03
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-04-03
Nice,43,43,16,10.1,1.1,40.0,17.0,55,0.5,2025-04-03
Strasbourg,44,63,22,12.4,,43.6,20.0,40,3.6,2025-04-03
Paris,59,59,14,24.4,0.6,39.0,32.7,38,13.0,2025-04-03
Rennes,31,31,10,6.2,,21.9,14.0,76,4.6,2025-04-03
Nantes,26,23,8,5.3,,25.5,14.0,76,4.6,2025-04-03
Marseille,41,30,14,4.6,0.3,40.9,19.4,51,3.0,2025-04-03
Toulouse,37,27,11,2.7,,36.5,16.0,63,8.2,2025-04-03
Lyon,36,36,,7.6,,15.1,19.0,50,3.8,2025-04-03
Bordeaux,42,,24,1.4,,41.9,23.0,20,7.2,2025-04-03
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-03
Nice,41,41,16,9.1,1.1,39.0,17.0,53.0,0.2,2025-04-03
Strasbourg,43,63,17,15.2,,42.6,18.0,39.0,2.5,2025-04-03
Paris,65,65,17,25.7,0.6,39.5,27.7,43.7,12.0,2025-04-03
Rennes,35,35,12,4.3,,22.2,14.0,76.0,4.6,2025-04-03
Nantes,27,27,8,5.0,,24.4,14.0,76.0,4.1,2025-04-03
Marseille,39,30,13,5.1,0.3,38.8,17.2,58.0,1.5,2025-04-03
Toulouse,25,25,10,2.1,,36.9,15.5,58.5,7.7,2025-04-03
Lyon,30,30,,7.6,,15.1,17.0,55.0,2.5,2025-04-03
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-03
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-03
Nice,51,51,17,21.5,1.1,22.3,16.5,51.5,0.2,2025-04-03
Strasbourg,43,63,17,15.2,,42.6,18.0,39.0,2.5,2025-04-03
Paris,53,53,13,31.3,0.6,39.3,24.1,51.6,10.0,2025-04-03
Rennes,35,35,11,4.4,,22.7,13.0,82.0,3.6,2025-04-03
Nantes,29,29,9,4.8,,24.9,14.0,76.0,4.1,2025-04-03
Marseille,34,34,13,8.1,0.3,34.2,15.0,62.0,0.2,2025-04-03
Toulouse,38,25,10,1.8,,38.2,15.0,58.0,8.4,2025-04-03
Lyon,35,35,,7.6,,15.1,16.0,59.0,2.0,2025-04-03
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-03
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-03
Nice,55,55,20,20.0,1.1,18.2,16.0,55.0,3.0,2025-04-03
Strasbourg,37,63,18,19.4,,36.7,14.0,50.0,2.0,2025-04-03
Paris,55,55,20,33.6,0.6,37.4,22.5,56.3,8.0,2025-04-03
Rennes,38,38,11,4.9,,20.8,13.0,82.0,3.0,2025-04-03
Nantes,29,29,9,4.2,,24.0,13.0,76.0,1.5,2025-04-03
Marseille,38,38,13,8.1,0.2,33.6,12.7,69.0,0.2,2025-04-03
Toulouse,39,20,7,1.5,,38.9,14.5,60.0,8.7,2025-04-03
Lyon,40,40,,8.1,,15.1,16.0,59.0,4.1,2025-04-03
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-03
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-03
Nice,51,51,17,13.8,1.1,19.5,15.0,58.0,4.1,2025-04-03
Strasbourg,30,63,21,25.0,,29.7,12.0,54.0,2.0,2025-04-03
Paris,60,60,24,43.6,0.6,31.4,21.2,60.6,8.5,2025-04-03
Rennes,35,35,11,4.7,,20.5,13.0,76.0,2.0,2025-04-03
Nantes,45,45,14,9.9,,14.5,12.0,81.0,2.5,2025-04-03
Marseille,49,49,18,15.1,0.2,21.1,12.7,69.0,2.0,2025-04-03
Toulouse,39,23,9,1.4,,39.4,14.0,62.0,10.0,2025-04-03
Lyon,41,41,,8.4,,15.1,15.0,62.0,2.5,2025-04-03
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-03
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-04
Nice,48,48,17,10.9,1.1,19.5,15.0,54.0,3.6,2025-04-04
Strasbourg,22,63,14,34.2,,21.9,11.5,55.5,2.3,2025-04-04
Paris,60,60,24,43.6,0.6,31.4,21.2,60.6,8.5,2025-04-04
Rennes,42,42,14,4.9,,19.3,12.0,87.0,1.5,2025-04-04
Nantes,49,49,14,13.1,,10.3,12.0,87.0,2.5,2025-04-04
Marseille,45,45,15,14.0,0.3,20.3,12.2,70.0,2.0,2025-04-04
Toulouse,40,20,7,1.2,,40.0,14.0,58.0,10.0,2025-04-04
Lyon,41,41,,8.4,,15.1,15.0,67.0,2.0,2025-04-04
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-04
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-04
Nice,35,35,12,8.3,1.1,18.2,14.0,54.0,4.1,2025-04-04
Strasbourg,26,63,26,13.1,,21.1,7.5,72.5,1.8,2025-04-04
Paris,57,57,23,26.2,0.6,22.8,13.0,65.0,7.1,2025-04-04
Rennes,30,30,9,3.7,,22.9,11.0,93.0,1.5,2025-04-04
Nantes,27,27,9,2.2,,23.7,13.0,82.0,4.1,2025-04-04
Marseille,37,37,12,9.1,0.1,21.2,10.5,71.0,1.0,2025-04-04
Toulouse,15,15,6,1.0,,40.9,14.0,62.0,8.4,2025-04-04
Lyon,44,44,,6.5,,15.1,11.0,81.0,0.5,2025-04-04
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-04
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-04
Nice,33,33,12,10.1,1.1,17.3,13.0,58.0,4.6,2025-04-04
Strasbourg,25,63,25,20.7,,18.6,7.0,70.0,1.5,2025-04-04
Paris,37,55,37,24.7,0.6,22.0,16.1,65.0,9.0,2025-04-04
Rennes,29,29,8,3.7,,19.4,11.0,87.0,1.2,2025-04-04
Nantes,31,31,9,3.6,,19.8,12.0,81.0,3.6,2025-04-04
Marseille,30,30,10,8.0,0.1,22.5,9.4,73.5,0.5,2025-04-04
Toulouse,40,20,6,1.4,,39.6,13.5,69.0,10.5,2025-04-04
Lyon,40,40,,4.9,,15.1,10.0,81.0,1.0,2025-04-04
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-04
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-04-04
Nice,33,33,13,15.3,1.1,11.7,13.0,58,4.1,2025-04-04
Strasbourg,24,63,24,22.9,,16.9,6.0,75,2.0,2025-04-04
Paris,55,55,15,29.4,0.6,21.6,15.5,66,9.0,2025-04-04
Rennes,29,29,8,6.4,,15.5,11.0,93,2.0,2025-04-04
Nantes,35,35,10,3.6,,17.2,11.0,87,3.0,2025-04-04
Marseille,32,32,13,16.4,0.1,13.7,9.4,73,1.0,2025-04-04
Toulouse,39,18,7,2.1,,39.2,13.5,69,10.2,2025-04-04
Lyon,43,43,,4.9,,15.1,10.0,84,1.0,2025-04-04
Bordeaux,42,,24,1.4,,41.9,23.0,20,7.2,2025-04-04
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-04
Nice,37,37,17,24.8,1.1,3.7,14.0,58.0,4.6,2025-04-04
Strasbourg,27,63,27,22.9,,12.9,6.5,72.5,1.8,2025-04-04
Paris,55,55,15,29.4,0.6,21.6,15.5,66.0,9.0,2025-04-04
Rennes,29,29,7,6.4,,23.1,10.0,93.0,2.0,2025-04-04
Nantes,35,35,10,3.6,,17.2,11.0,87.0,3.0,2025-04-04
Marseille,53,53,20,22.2,0.1,10.4,10.0,71.0,1.0,2025-04-04
Toulouse,38,20,7,3.0,,38.4,13.5,69.0,10.5,2025-04-04
Lyon,53,53,,25.1,,15.1,11.0,87.0,1.0,2025-04-04
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-04
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-04
Nice,51,51,37,26.9,,3.3,15.0,58.0,2.0,2025-04-04
Strasbourg,31,63,31,26.1,,9.3,12.5,56.0,2.3,2025-04-04
Paris,56,56,14,41.3,0.6,20.8,16.6,63.5,7.0,2025-04-04
Rennes,25,23,8,4.4,,25.3,13.0,76.0,4.1,2025-04-04
Nantes,42,42,16,9.2,,12.4,12.0,87.0,3.0,2025-04-04
Marseille,58,58,27,34.6,0.6,5.5,12.2,67.0,1.0,2025-04-04
Toulouse,37,20,7,3.9,,37.2,14.0,67.0,10.5,2025-04-04
Lyon,58,58,,25.1,,15.1,11.5,87.0,1.0,2025-04-04
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-04
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-04
Nice,50,50,32,25.2,1.1,8.3,15.5,58.5,1.5,2025-04-04
Strasbourg,31,63,31,26.1,,9.3,12.5,56.0,2.3,2025-04-04
Paris,51,51,15,44.8,0.6,15.1,15.2,60.5,0.5,2025-04-04
Rennes,29,29,11,4.0,,25.1,15.0,72.0,3.6,2025-04-04
Nantes,42,42,16,10.7,,13.4,12.5,84.5,3.3,2025-04-04
Marseille,50,50,31,26.4,0.5,13.7,13.8,67.0,1.0,2025-04-04
Toulouse,22,22,9,3.9,,37.2,14.0,62.0,10.2,2025-04-04
Lyon,62,62,,28.8,,15.1,17.5,51.5,4.3,2025-04-04
Bordeaux,42,,24,1.4,,41.9,23.0,20.0,7.2,2025-04-04
Lille,61,61,8,20.6,1.1,15.6,5.0,79,0.4,2025-04-04
Nice,43,43,22,13.9,1.1,23.8,18.0,55,1.5,2025-04-04
Strasbourg,33,63,33,19.5,,23.4,13.5,54,2.3,2025-04-04
Paris,52,52,24,39.6,0.6,9.5,17.6,54,0.2,2025-04-04
Rennes,31,31,11,4.2,,22.8,15.0,72,3.0,2025-04-04
Nantes,36,36,13,7.0,,18.0,17.5,61,4.3,2025-04-04
Marseille,33,33,22,9.7,0.3,30.9,18.8,50,3.0,2025-04-04
Toulouse,37,22,9,3.8,,37.2,15.0,58,7.7,2025-04-04
Lyon,45,45,,23.3,,15.1,18.5,50,5.4,2025-04-04
Bordeaux,42,,24,1.4,,41.9,23.0,20,7.2,2025-04-04
Lille,61,61,8,20.6,1.1,15.6,5.0,79.0,0.4,2025-04-04
Nice,46,46,22,6.4,1.1,37.2,18.0,63.0,4.6,2025-04-04
Strasbourg,26,63,26,13.1,,23.4,16.5,46.5,1.8,2025-04-04
Paris,67,67,34,34.3,0.6,10.6,19.4,47.0,0.3,2025-04-04
Rennes,36,36,13,4.8,,22.8,18.0,63.0,2.0,2025-04-04
Nantes,29,29,11,7.0,,24.9,19.0,55.0,6.1,2025-04-04
Marseille,38,30,18,5.0,0.3,37.7,19.4,48.0,2.0,2025-04-04
